badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-sylvania+waters-110238549,Sylvania Waters,NSW,2224,,,,Contact agent,house,0,1,1,,,-1.0,,,,,,10 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-sylvania+waters-110488309,Sylvania Waters,NSW,2224,,,,Contact agent,residential-other,0,1,0,,,-1.0,,,,,,31 Aug 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-sylvania+waters-111168831,Sylvania Waters,NSW,2224,15/3 Richmond Ave,"15/3 Richmond Ave, Sylvania Waters, NSW 2224",320000,"$320,000",residential-other,1,1,0,594.58,m²,-1.0,,NTQJWD,Mac Lee Realty - Chatswood,,,27 May 2015,house,594.58,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sylvania+waters-107368585,Sylvania Waters,NSW,2224,,,,Contact agent,house,1,1,1,,,-1.0,,,,,,08 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sylvania+waters-116847343,Sylvania Waters,NSW,2224,35 Barcoo Island,"35 Barcoo Island, Sylvania Waters, NSW 2224",2500000,"$2,500,000",house,2,2,2,,,-1.0,,DBUSYD,DJW Property - Sylvania Waters,,,26 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sylvania+waters-117174915,Sylvania Waters,NSW,2224,4 Tumut Place,"4 Tumut Place, Sylvania Waters, NSW 2224",1830000,"$1,830,000",house,2,1,2,,,-1.0,,DBUSYD,DJW Property - Sylvania Waters,,,05 Jun 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sylvania+waters-140673755,Sylvania Waters,NSW,2224,214 Belgrave Esplanade,"214 Belgrave Esplanade, Sylvania Waters, NSW 2224",1715000,"$1,715,000",house,3,2,2,,,657.6,m²,GYBNME,Cronulla Real Estate - Cronulla,,,12 Nov 2022,house,,657.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-sylvania+waters-140249227,Sylvania Waters,NSW,2224,1 Shoalhaven Road,"1 Shoalhaven Road, Sylvania Waters, NSW 2224",1660000,"$1,660,000",house,3,1,1,,,588.0,m²,DBUSYD,DJW Property - Sylvania Waters,,,10 Sep 2022,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sylvania+waters-139296215,Sylvania Waters,NSW,2224,7 Wollondilly Place,"7 Wollondilly Place, Sylvania Waters, NSW 2224",1925000,"$1,925,000",house,3,1,1,,,626.0,m²,XNFSYL,McGrath Sutherland Shire - Sylvania,,,04 Jun 2022,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-sylvania+waters-137773922,Sylvania Waters,NSW,2224,28 Lachlan Avenue,"28 Lachlan Avenue, Sylvania Waters, NSW 2224",4100000,"$4,100,000",house,3,3,2,,,815.0,m²,DBUSYD,DJW Property - Sylvania Waters,,,19 Jan 2022,house,,815.0
