badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-107408836,Tacoma,NSW,2259,,,,Contact agent,house,1,1,1,,,3193.0,m²,XFNWYO,Coastwide First National -   ,,,25 Nov 2011,house,,3193.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-105801797,Tacoma,NSW,2259,23 Wolseley  Avenue,"23 Wolseley  Avenue, Tacoma, NSW 2259",345000,"$345,000",house,1,1,0,,,2500.0,m²,CAYGOR,Capital One Real Estate - Central Coast,,,23 Aug 2007,house,,2500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-130762034,Tacoma,NSW,2259,45 Wolseley Avenue,"45 Wolseley Avenue, Tacoma, NSW 2259",470000,"$470,000",house,2,1,1,,,1752.0,m²,MCLLON,McLachlan Partners - Long Jetty,,,05 Aug 2019,house,,1752.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-129282990,Tacoma,NSW,2259,63 Wolseley Avenue,"63 Wolseley Avenue, Tacoma, NSW 2259",550000,"$550,000",house,2,1,1,,,1667.0,m²,XLJWYO,LJ Hooker - Wyong,,,08 May 2019,house,,1667.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-129538766,Tacoma,NSW,2259,63 Hillcrest Ave,"63 Hillcrest Ave, Tacoma, NSW 2259",430000,"$430,000",house,2,1,1,,,550.0,m²,NSDMAS,One Agency Coast and Country - WYONG,,,25 Oct 2018,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-121317870,Tacoma,NSW,2259,46 Wolseley Avenue,"46 Wolseley Avenue, Tacoma, NSW 2259",665000,"$665,000",house,2,1,4,,,1668.0,m²,XLJWYO,LJ Hooker - Wyong,,,05 Dec 2016,house,,1668.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-111567847,Tacoma,NSW,2259,2 Wolseley Avenue,"2 Wolseley Avenue, Tacoma, NSW 2259",385000,"$385,000",house,2,2,1,,,-1.0,,VLWSWH,Raine & Horne - Killarney Vale | The Entrance,,,22 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-112512131,Tacoma,NSW,2259,80 Hillcrest  Ave,"80 Hillcrest  Ave, Tacoma, NSW 2259",250000,"$250,000",house,2,1,2,,,466.0,m²,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,31 Jan 2013,house,,466.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-107421426,Tacoma,NSW,2259,,,281000,"$281,000",house,2,1,2,,,1106.0,m²,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,02 Apr 2012,house,,1106.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-107944681,Tacoma,NSW,2259,64A Wolseley Avenue,"64A Wolseley Avenue, Tacoma, NSW 2259",315000,"$315,000",house,2,1,2,,,1202.0,m²,XNNGFX,PRD - Real Estate,,,13 Feb 2012,house,,1202.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tacoma-107634416,Tacoma,NSW,2259,,,320000,"$320,000",house,2,1,0,,,2379.0,m²,XFNWYO,Coastwide First National -   ,,,27 Jan 2012,house,,2379.0
