badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-139019039,Terrigal,NSW,2260,107/474 Terrigal Drive,"107/474 Terrigal Drive, Terrigal, NSW 2260",212000,"$212,000",house,1,1,1,,,-1.0,,KVDYUU,Urban & Coastal - Terrigal,,,27 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-133122690,Terrigal,NSW,2260,107/474 Terrigal Drive,"107/474 Terrigal Drive, Terrigal, NSW 2260",135000,"$135,000",house,1,1,1,,,-1.0,,KVDYUU,Urban & Coastal - Terrigal,,,05 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-131816654,Terrigal,NSW,2260,32/474 Terrigal Drive,"32/474 Terrigal Drive, Terrigal, NSW 2260",115000,"$115,000",house,1,1,1,,,-1.0,,MBAMUB,Australian Home Partners,,,18 Jan 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-129039910,Terrigal,NSW,2260,Site 49/2-10  Duffys Road,"Site 49/2-10  Duffys Road, Terrigal, NSW 2260",122000,"$122,000",house,1,1,1,,,-1.0,,XGBAVB,George Brand Real Estate Avoca Beach - Avoca Beach / Copacabana,,,04 Dec 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-130090518,Terrigal,NSW,2260,204/224 Terrigal Dr,"204/224 Terrigal Dr, Terrigal, NSW 2260",240000,"$240,000",house,1,1,1,,,-1.0,,XGBTOV,Brand Property - Central Coast,,,19 Oct 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-124561142,Terrigal,NSW,2260,32/474 Terrigal Drive,"32/474 Terrigal Drive, Terrigal, NSW 2260",88000,"$88,000",house,1,1,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,04 Apr 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-123068554,Terrigal,NSW,2260,15/474 Terrigal Drive,"15/474 Terrigal Drive, Terrigal, NSW 2260",146000,"$146,000",house,1,1,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,30 Oct 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-terrigal-122806266,Terrigal,NSW,2260,Lot 2/195 Hastings Road,"Lot 2/195 Hastings Road, Terrigal, NSW 2260",800000,"$800,000",acreage,1,1,0,,,-1.0,,KVDYUU,Urban & Coastal - Terrigal,,,27 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-116055491,Terrigal,NSW,2260,3 Tiarri Crescent,"3 Tiarri Crescent, Terrigal, NSW 2260",650000,"$650,000",house,1,1,0,,,625.0,m²,XGBTEA,Brand Property - Premier,,,05 Aug 2014,house,,625.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-terrigal-115916431,Terrigal,NSW,2260,41 Vicary Road,"41 Vicary Road, Terrigal, NSW 2260",880000,"$880,000",acreage,1,1,0,,,2.02,ha,PTRTER,Property Central - CENTRAL COAST,,,28 Mar 2014,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-131024190,Terrigal,NSW,2260,24/474 Terrigal Drive,"24/474 Terrigal Drive, Terrigal, NSW 2260",,Contact agent,house,1,1,1,,,-1.0,,XPAUYT,For Sale By Owner                                                                                   ,,,10 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-118679883,Terrigal,NSW,2260,Unit 212/224 Terrigal Dr,"Unit 212/224 Terrigal Dr, Terrigal, NSW 2260",,Contact agent,house,1,1,1,,,-1.0,,XGBTEA,Brand Property - Premier,,,30 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-118679811,Terrigal,NSW,2260,Unit 307/224 Terrigal Dr,"Unit 307/224 Terrigal Dr, Terrigal, NSW 2260",,Contact agent,house,1,1,1,,,-1.0,,XGBTEA,Brand Property - Premier,,,28 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-111960203,Terrigal,NSW,2260,Lot 24/394 Terrigal Drive,"Lot 24/394 Terrigal Drive, Terrigal, NSW 2260",,Contact agent,house,1,1,0,,,1048.0,m²,,,,,25 Aug 2013,house,,1048.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-111959403,Terrigal,NSW,2260,Lot 23/394 Terrigal Drive,"Lot 23/394 Terrigal Drive, Terrigal, NSW 2260",,Contact agent,house,1,1,0,,,941.0,m²,,,,,09 Aug 2013,house,,941.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-111957947,Terrigal,NSW,2260,"Lot 22,394 Terrigal  Drive","Lot 22,394 Terrigal  Drive, Terrigal, NSW 2260",,Contact agent,house,1,1,0,,,818.0,m²,,,,,14 Jun 2013,house,,818.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-108620356,Terrigal,NSW,2260,32/474 Terrigal Drive,"32/474 Terrigal Drive, Terrigal, NSW 2260",,Contact agent,house,1,1,0,,,-1.0,,GYCLMP,Harcourts Coastside Property - ERINA,,,21 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-107874401,Terrigal,NSW,2260,73/474 Terrigal Drive,"73/474 Terrigal Drive, Terrigal, NSW 2260",,Contact agent,house,1,1,0,,,-1.0,,GYCLMP,Harcourts Coastside Property - ERINA,,,18 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-107215080,Terrigal,NSW,2260,49/2-10 Duffies Rd,"49/2-10 Duffies Rd, Terrigal, NSW 2260",,Contact agent,house,1,1,0,,,-1.0,,XGBTEA,Brand Property - Premier,,,30 Aug 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-106796721,Terrigal,NSW,2260,3/6 Maroomba Road,"3/6 Maroomba Road, Terrigal, NSW 2260",,Contact agent,house,1,1,1,,,-1.0,,BCUSHO,DiJones - Central Coast,,,15 Jun 2007,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-103749137,Terrigal,NSW,2260,3/6 Maroomba Road,"3/6 Maroomba Road, Terrigal, NSW 2260",225000,"$225,000",house,1,1,1,,,-1.0,,BCUSHO,DiJones - Central Coast,,,15 Jun 2007,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-140611735,Terrigal,NSW,2260,68 & 70 Hastings Road,"68 & 70 Hastings Road, Terrigal, NSW 2260",2150000,"$2,150,000",house,2,1,2,,,7342.0,m²,XRHTER,McGrath - Terrigal,,,20 Jan 2023,house,,7342.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-138914355,Terrigal,NSW,2260,74 Willoughby Road,"74 Willoughby Road, Terrigal, NSW 2260",1160000,"$1,160,000",house,2,1,1,,,696.0,m²,BWQLXR,George Brand Terrigal - TERRIGAL,,,11 Apr 2022,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-138560851,Terrigal,NSW,2260,40 Riviera Avenue,"40 Riviera Avenue, Terrigal, NSW 2260",1250000,"$1,250,000",house,2,1,0,,,538.0,m²,XRHTER,McGrath - Terrigal,,,16 Mar 2022,house,,538.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-137152394,Terrigal,NSW,2260,8 Mittara Road,"8 Mittara Road, Terrigal, NSW 2260",1173250,"$1,173,250",house,2,1,1,,,715.0,m²,BWQLXR,George Brand Terrigal - TERRIGAL,,,14 Sep 2021,house,,715.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-136828786,Terrigal,NSW,2260,49 Havenview Road,"49 Havenview Road, Terrigal, NSW 2260",1540000,"$1,540,000",house,2,1,0,,,740.0,m²,HXZVYF,Whiteman Property - WAMBERAL,,,04 Sep 2021,house,,740.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-136576262,Terrigal,NSW,2260,14/9-13 Junction Road,"14/9-13 Junction Road, Terrigal, NSW 2260",625000,"$625,000",house,2,1,1,90,m²,-1.0,,XRWTHE,Century 21 Coast Property - The Entrance/Berkeley Vale,,,02 Jul 2021,house,90,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-136110354,Terrigal,NSW,2260,21 Kurrawyba Avenue,"21 Kurrawyba Avenue, Terrigal, NSW 2260",1235000,"$1,235,000",house,2,1,1,,,468.0,m²,XLJTES,LJ Hooker - Terrigal,,,15 May 2021,house,,468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-135922362,Terrigal,NSW,2260,3 Smillie Avenue,"3 Smillie Avenue, Terrigal, NSW 2260",1600000,"$1,600,000",house,2,1,1,,,697.0,m²,XLJTES,LJ Hooker - Terrigal,,,01 May 2021,house,,697.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-terrigal-135203498,Terrigal,NSW,2260,7/12 Terrigal Esplanade,"7/12 Terrigal Esplanade, Terrigal, NSW 2260",725000,"$725,000",house,2,1,1,,,120.0,m²,XLJTES,LJ Hooker - Terrigal,,,22 Jan 2021,house,,120.0
