badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-the+oaks-105262802,The Oaks,NSW,2570,"Shop1, 81-83 John Street","Shop1, 81-83 John Street, The Oaks, NSW 2570",,Contact agent,residential-other,0,1,0,,,-1.0,,,,,,28 Feb 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-the+oaks-121556218,The Oaks,NSW,2570,3 Emmaline Avenue,"3 Emmaline Avenue, The Oaks, NSW 2570",430000,"$430,000",house,1,1,0,,,975.8,m²,SPBNAR,Space Real Estate - Macarthur District,,,02 May 2016,house,,975.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-the+oaks-121556274,The Oaks,NSW,2570,3 Tyrrell Place,"3 Tyrrell Place, The Oaks, NSW 2570",420000,"$420,000",house,1,1,0,,,-1.0,,SPBNAR,Space Real Estate - Macarthur District,,,22 Jan 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-the+oaks-106834302,The Oaks,NSW,2570,745 Montpelier Drive,"745 Montpelier Drive, The Oaks, NSW 2570",775000,"$775,000",house,1,1,0,,,-1.0,,ZPCAHP,RESIDE Real Estate - Wollondilly/Macarthur,,,15 Sep 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-the+oaks-114789195,The Oaks,NSW,2570,640 Barkers Lodge road,"640 Barkers Lodge road, The Oaks, NSW 2570",,Contact agent,acreage,1,1,0,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,19 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-the+oaks-137560174,The Oaks,NSW,2570,866 Montpelier Drive,"866 Montpelier Drive, The Oaks, NSW 2570",775000,"$775,000",house,2,1,0,,,975.0,m²,XRWXEC,Ray White - Picton,,,19 Nov 2021,house,,975.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-the+oaks-134997070,The Oaks,NSW,2570,6/870 Burragorang Road,"6/870 Burragorang Road, The Oaks, NSW 2570",448000,"$448,000",house,2,1,1,,,267.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,22 Dec 2020,house,,267.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-the+oaks-133339646,The Oaks,NSW,2570,3 Russell Street,"3 Russell Street, The Oaks, NSW 2570",490000,"$490,000",house,2,1,1,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,22 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-the+oaks-129946702,The Oaks,NSW,2570,8/870 Burragorang Road,"8/870 Burragorang Road, The Oaks, NSW 2570",410000,"$410,000",house,2,1,1,,,303.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,24 Dec 2018,house,,303.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-the+oaks-116404275,The Oaks,NSW,2570,859 Montpellier Drive,"859 Montpellier Drive, The Oaks, NSW 2570",500000,"$500,000",house,2,1,1,,,1207.0,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,11 Apr 2014,house,,1207.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-the+oaks-112760655,The Oaks,NSW,2570,25 Burragorang St,"25 Burragorang St, The Oaks, NSW 2570",360000,"$360,000",house,2,1,1,,,-1.0,,,,,,27 Sep 2013,house,,-1.0
