badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-117347883,Thornleigh,NSW,2120,12 Vale Road,"12 Vale Road, Thornleigh, NSW 2120",656000,"$656,000",house,0,1,0,,,1100.0,m²,XCETHO,Homefront Real Estate - Thornleigh,,,26 Jul 2014,house,,1100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-105208283,Thornleigh,NSW,2120,47 Pritchard St,"47 Pritchard St, Thornleigh, NSW 2120",445000,"$445,000",house,1,2,1,,,505.0,m²,AMNTHO,Allen & Sheppard - Thornleigh,,,14 Mar 2009,house,,505.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-125282150,Thornleigh,NSW,2120,1-3 Nelson Street,"1-3 Nelson Street, Thornleigh, NSW 2120",2050000,"$2,050,000",house,1,2,10,,,-1.0,,BSEEPP,Cale Property Agents - EPPING,,,20 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-104584377,Thornleigh,NSW,2120,30 Thornleigh  St,"30 Thornleigh  St, Thornleigh, NSW 2120",405000,"$405,000",house,1,1,0,,,445.0,m²,KEKTHO,Soames Real Estate - THORNLEIGH,,,01 Apr 2008,house,,445.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-140555839,Thornleigh,NSW,2120,56 The Esplanade,"56 The Esplanade, Thornleigh, NSW 2120",1440000,"$1,440,000",house,2,1,1,,,1161.0,m²,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,25 Jan 2023,house,,1161.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-140787003,Thornleigh,NSW,2120,3 Goodlands Avenue,"3 Goodlands Avenue, Thornleigh, NSW 2120",1725000,"$1,725,000",house,2,2,2,,,708.0,m²,AMNTHO,Allen & Sheppard - Thornleigh,,,04 Nov 2022,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-139389539,Thornleigh,NSW,2120,23 Eddy Street,"23 Eddy Street, Thornleigh, NSW 2120",2000000,"$2,000,000",house,2,1,1,,,-1.0,,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,15 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-126240894,Thornleigh,NSW,2120,12 Yaralla Crescent,"12 Yaralla Crescent, Thornleigh, NSW 2120",1570000,"$1,570,000",house,2,1,2,,,746.0,m²,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,24 Jul 2021,house,,746.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-135779090,Thornleigh,NSW,2120,30A Oakleigh Avenue,"30A Oakleigh Avenue, Thornleigh, NSW 2120",1286000,"$1,286,000",house,2,1,1,,,424.0,m²,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,26 Mar 2021,house,,424.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-135391554,Thornleigh,NSW,2120,38 Bungowen Avenue,"38 Bungowen Avenue, Thornleigh, NSW 2120",1525000,"$1,525,000",house,2,1,2,,,740.0,m²,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,03 Mar 2021,house,,740.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-134407318,Thornleigh,NSW,2120,30 Dartford Road,"30 Dartford Road, Thornleigh, NSW 2120",1150000,"$1,150,000",house,2,1,2,,,735.0,m²,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,10 Oct 2020,house,,735.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-134262010,Thornleigh,NSW,2120,27 Goodlands Avenue,"27 Goodlands Avenue, Thornleigh, NSW 2120",1100000,"$1,100,000",house,2,1,1,,,708.0,m²,AMNTHO,Allen & Sheppard - Thornleigh,,,16 Sep 2020,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-132731654,Thornleigh,NSW,2120,21 Handley Avenue,"21 Handley Avenue, Thornleigh, NSW 2120",1428000,"$1,428,000",house,2,1,2,,,742.0,m²,SYSIIL,DiJones - Northern Suburbs,,,01 Feb 2020,house,,742.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-129754006,Thornleigh,NSW,2120,26 The Comenarra Parkway,"26 The Comenarra Parkway, Thornleigh, NSW 2120",820000,"$820,000",house,2,1,1,,,-1.0,,KEKTHO,Soames Real Estate - THORNLEIGH,,,24 Jan 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-126857606,Thornleigh,NSW,2120,30 The Esplanade,"30 The Esplanade, Thornleigh, NSW 2120",1060000,"$1,060,000",house,2,1,1,,,-1.0,,JPHHOR,John Pye Real Estate - NSW,,,27 Feb 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-124746174,Thornleigh,NSW,2120,57 Duffy Avenue,"57 Duffy Avenue, Thornleigh, NSW 2120",1275000,"$1,275,000",house,2,1,2,,,-1.0,,EHOEPP,Tracy Yap Realty - Epping,,,11 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-124006226,Thornleigh,NSW,2120,30 Oakleigh Avenue,"30 Oakleigh Avenue, Thornleigh, NSW 2120",907500,"$907,500",house,2,1,1,,,314.0,m²,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,14 Dec 2016,house,,314.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-122851242,Thornleigh,NSW,2120,8 Sefton Road,"8 Sefton Road, Thornleigh, NSW 2120",830000,"$830,000",house,2,1,2,,,354.0,m²,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,12 Aug 2016,house,,354.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-122533502,Thornleigh,NSW,2120,79 Duffy Avenue,"79 Duffy Avenue, Thornleigh, NSW 2120",1070000,"$1,070,000",house,2,1,2,,,961.0,m²,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,26 May 2016,house,,961.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-120950282,Thornleigh,NSW,2120,4 Pritchard Street,"4 Pritchard Street, Thornleigh, NSW 2120",1216000,"$1,216,000",house,2,1,1,,,-1.0,,GTDXGC,W Group - Pennant Hills,,,02 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-119868781,Thornleigh,NSW,2120,1/40 Beresford Road,"1/40 Beresford Road, Thornleigh, NSW 2120",735000,"$735,000",house,2,1,1,,,407.0,m²,GWTYNF,McGrath - Beecroft,,,13 Jun 2015,house,,407.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-119741563,Thornleigh,NSW,2120,2/16-18 Nelson Street,"2/16-18 Nelson Street, Thornleigh, NSW 2120",710000,"$710,000",house,2,1,2,,,-1.0,,KEKTHO,Soames Real Estate - THORNLEIGH,,,30 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-117245011,Thornleigh,NSW,2120,89 Dartford Road,"89 Dartford Road, Thornleigh, NSW 2120",997000,"$997,000",house,2,1,1,,,695.6,m²,XLSPEN,Laing+Simmons - Pennant Hills,,,05 Jul 2014,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-115351759,Thornleigh,NSW,2120,22 Dawson Avenue,"22 Dawson Avenue, Thornleigh, NSW 2120",710000,"$710,000",house,2,1,1,,,-1.0,,AMPYRL,McGrath - Hornsby,,,27 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-thornleigh-115190655,Thornleigh,NSW,2120,14 Norman Avenue,"14 Norman Avenue, Thornleigh, NSW 2120",728000,"$728,000",house,2,1,1,,,746.0,m²,JPHHOR,John Pye Real Estate - NSW,,,14 Nov 2013,house,,746.0
