badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-138080442,Toronto,NSW,2283,275 Brighton Avenue,"275 Brighton Avenue, Toronto, NSW 2283",500000,"$500,000",house,1,1,0,,,607.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,07 Dec 2021,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-125246906,Toronto,NSW,2283,16 Jindalee Street,"16 Jindalee Street, Toronto, NSW 2283",300000,"$300,000",house,1,1,0,,,700.0,m²,XRWTOR,Ray White - Toronto,,,01 Jun 2017,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-112668979,Toronto,NSW,2283,16 Victory Pde & 159 Brighton Ave,"16 Victory Pde & 159 Brighton Ave, Toronto, NSW 2283",810000,"$810,000",house,1,1,0,,,1025.0,m²,XRWTOR,Ray White - Toronto,,,13 Oct 2015,house,,1025.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-106122845,Toronto,NSW,2283,,,160000,"$160,000",house,1,1,0,,,600.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,06 Jan 2010,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-105719665,Toronto,NSW,2283,,,149000,"$149,000",house,1,1,0,,,-1.0,,XCETON,Century 21 Gallery - Rathmines,,,01 Jul 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-138152310,Toronto,NSW,2283,155a Excelsior Parade,"155a Excelsior Parade, Toronto, NSW 2283",575000,"$575,000",house,1,1,0,,,1361.0,m²,NTWOYA,Love Realty - Newcastle/ Lake Macquarie,,,24 Dec 2021,house,,1361.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-130526194,Toronto,NSW,2283,155A Excelsior Parade,"155A Excelsior Parade, Toronto, NSW 2283",,Contact agent,house,1,1,0,50,m²,1369.0,m²,XPAUYT,For Sale By Owner                                                                                   ,,,16 Jun 2019,house,50,1369.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-121526914,Toronto,NSW,2283,8 Carleton Street,"8 Carleton Street, Toronto, NSW 2283",650000,"$650,000",house,1,1,0,,,6.18,ha,XFNTOT,Avery Property Professionals  -   ,,,31 Oct 2016,house,,61800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-105544828,Toronto,NSW,2283,407 Awaba Road,"407 Awaba Road, Toronto, NSW 2283",275000,"$275,000",house,1,2,0,,,1391.0,m²,XFNTOT,Avery Property Professionals  -   ,,,13 Oct 2010,house,,1391.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-106207586,Toronto,NSW,2283,87 Cary Street,"87 Cary Street, Toronto, NSW 2283",180000,"$180,000",house,1,1,1,,,701.0,m²,XRWTOR,Ray White - Toronto,,,25 Jan 2010,house,,701.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-140456691,Toronto,NSW,2283,4 Anzac Parade,"4 Anzac Parade, Toronto, NSW 2283",1000000,"$1,000,000",house,2,1,1,,,360.0,m²,XFNTOT,Avery Property Professionals  -   ,,,08 Nov 2022,house,,360.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-140412003,Toronto,NSW,2283,277 Brighton Avenue,"277 Brighton Avenue, Toronto, NSW 2283",640000,"$640,000",house,2,1,2,93,m²,607.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,04 Nov 2022,house,93,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-140401259,Toronto,NSW,2283,100 Cary Street,"100 Cary Street, Toronto, NSW 2283",595000,"$595,000",house,2,1,2,,,765.1,m²,XRWTOR,Ray White - Toronto,,,29 Sep 2022,house,,765.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-139485019,Toronto,NSW,2283,3/1 Barry Avenue,"3/1 Barry Avenue, Toronto, NSW 2283",495000,"$495,000",house,2,2,2,,,250.0,m²,XRWTOR,Ray White - Toronto,,,28 Sep 2022,house,,250.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-139372687,Toronto,NSW,2283,2 Renwick Street,"2 Renwick Street, Toronto, NSW 2283",775000,"$775,000",house,2,1,2,,,613.0,m²,XFNTOT,Avery Property Professionals  -   ,,,02 Sep 2022,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toronto-140095263,Toronto,NSW,2283,16 Jindalee Street,"16 Jindalee Street, Toronto, NSW 2283",560000,"$560,000",house,2,1,1,,,700.0,m²,XFNTOT,Avery Property Professionals  -   ,,,31 Aug 2022,house,,700.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-toronto-139722187,Toronto,NSW,2283,3B Lourie Close,"3B Lourie Close, Toronto, NSW 2283",580000,"$580,000",duplex-semi-detached,2,1,1,113,m²,355.6,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,05 Aug 2022,house,113,355.6
