badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-toukley-117684907,Toukley,NSW,2263,280 Main Road,"280 Main Road, Toukley, NSW 2263",290000,"$290,000",residential-other,0,1,0,,,-1.0,,,,,,23 Jan 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-toukley-117175279,Toukley,NSW,2263,169 Main Rd,"169 Main Rd, Toukley, NSW 2263",350000,"$350,000",residential-other,0,2,1,,,569.0,m²,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,07 Oct 2014,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toukley-111439667,Toukley,NSW,2263,,,,Contact agent,house,0,1,0,,,-1.0,,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,27 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-toukley-106767818,Toukley,NSW,2263,,,,Contact agent,residential-other,0,1,0,,,-1.0,,QPWPSA,Harcourts Residential and Lifestyle - TOUKLEY,,,30 Nov 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-toukley-106766438,Toukley,NSW,2263,,,,Contact agent,residential-other,0,1,0,,,45.0,m²,QPWPSA,Harcourts Residential and Lifestyle - TOUKLEY,,,30 Nov 2010,house,,45.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-toukley-106679391,Toukley,NSW,2263,,,,Contact agent,residential-other,0,2,0,98,m²,-1.0,,QPWPSA,Harcourts Residential and Lifestyle - TOUKLEY,,,06 Sep 2010,house,98,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toukley-140758459,Toukley,NSW,2263,138 Main Road,"138 Main Road, Toukley, NSW 2263",1300000,"$1,300,000",house,1,1,2,,,790.0,m²,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,24 Jan 2023,house,,790.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toukley-140250711,Toukley,NSW,2263,43 Second Avenue Avenue,"43 Second Avenue Avenue, Toukley, NSW 2263",600000,"$600,000",house,1,1,1,,,487.0,m²,OKRIYO,McGrath Toukley - TOUKLEY,,,13 Oct 2022,house,,487.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toukley-137989198,Toukley,NSW,2263,31 Norman Street,"31 Norman Street, Toukley, NSW 2263",648000,"$648,000",house,1,1,3,,,468.0,m²,BSYZJT,Capital One Real Estate - Lifestyle,,,03 Dec 2021,house,,468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-toukley-130743794,Toukley,NSW,2263,305 Main Road,"305 Main Road, Toukley, NSW 2263",535000,"$535,000",house,1,1,10,,,740.0,m²,MCLLON,McLachlan Partners - Long Jetty,,,05 Jul 2019,house,,740.0
