badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-135892478,Tregear,NSW,2770,17 Hasselburgh Road,"17 Hasselburgh Road, Tregear, NSW 2770",550000,"$550,000",house,1,1,1,,,594.0,m²,JZESBX,Laing+Simmons - Merrylands,,,14 Apr 2021,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-119765695,Tregear,NSW,2770,127 Ellsworth,"127 Ellsworth, Tregear, NSW 2770",435000,"$435,000",house,2,1,1,,,-1.0,,XRHSTM,Raine & Horne - St Marys,,,22 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-110552697,Tregear,NSW,2770,11 Mangariva,"11 Mangariva, Tregear, NSW 2770",,Contact agent,house,2,2,0,40.04,m²,-1.0,,,,,,16 Jan 2013,house,40.04,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-141745736,Tregear,NSW,2770,19 Aurora Drive,"19 Aurora Drive, Tregear, NSW 2770",620000,"$620,000",house,3,1,3,100,m²,645.0,m²,XPNSTM,Professionals - St Marys & Erskine Park,,,18 Apr 2023,house,100,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-141146436,Tregear,NSW,2770,29 Vincennes Street,"29 Vincennes Street, Tregear, NSW 2770",500000,"$500,000",house,3,1,1,,,563.0,m²,JLZJLO,McGrath - Blacktown,,,13 Mar 2023,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-141158796,Tregear,NSW,2770,9 Petersen Crescent,"9 Petersen Crescent, Tregear, NSW 2770",565000,"$565,000",house,3,1,2,,,620.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,15 Feb 2023,house,,620.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-140935992,Tregear,NSW,2770,28 Mcmurdo Avenue,"28 Mcmurdo Avenue, Tregear, NSW 2770",622000,"$622,000",house,3,1,3,,,699.0,m²,MMIXNH,Ray White Mt Druitt,,,28 Jan 2023,house,,699.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-140834384,Tregear,NSW,2770,33 Mawson Road,"33 Mawson Road, Tregear, NSW 2770",650000,"$650,000",house,3,1,1,,,702.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,11 Jan 2023,house,,702.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-140325367,Tregear,NSW,2770,22 McMurdo Avenue,"22 McMurdo Avenue, Tregear, NSW 2770",565000,"$565,000",house,3,1,1,,,600.7,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,09 Dec 2022,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-140654667,Tregear,NSW,2770,61 Aurora Drive,"61 Aurora Drive, Tregear, NSW 2770",480000,"$480,000",house,3,1,0,,,594.0,m²,STAPEN,Starr Partners - Glenmore Park & Penrith ,,,06 Dec 2022,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-140784543,Tregear,NSW,2770,13 Bernacci Street,"13 Bernacci Street, Tregear, NSW 2770",595000,"$595,000",house,3,1,1,,,714.0,m²,VUNUHO,One Agency Caddens - St Marys,,,30 Nov 2022,house,,714.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-140660703,Tregear,NSW,2770,9 Biscoe Place,"9 Biscoe Place, Tregear, NSW 2770",610000,"$610,000",house,3,1,1,,,594.4,m²,XRXPEP,Property Central - Penrith,,,07 Nov 2022,house,,594.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-140584043,Tregear,NSW,2770,9 Penguin Place,"9 Penguin Place, Tregear, NSW 2770",661000,"$661,000",house,3,1,1,,,664.0,m²,NKVFNY,Property Results - ROPES CROSSING,,,31 Oct 2022,house,,664.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-140188647,Tregear,NSW,2770,98 Wilkes Crescent,"98 Wilkes Crescent, Tregear, NSW 2770",620000,"$620,000",house,3,1,3,,,651.3,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,24 Oct 2022,house,,651.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139867499,Tregear,NSW,2770,59 Wilkes Crescent,"59 Wilkes Crescent, Tregear, NSW 2770",545000,"$545,000",house,3,1,1,,,588.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,20 Oct 2022,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139744515,Tregear,NSW,2770,8 Erebus Crescent,"8 Erebus Crescent, Tregear, NSW 2770",631000,"$631,000",house,3,1,1,,,696.0,m²,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,12 Oct 2022,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139732723,Tregear,NSW,2770,42 Vincennes Avenue,"42 Vincennes Avenue, Tregear, NSW 2770",571000,"$571,000",house,3,1,1,77,m²,575.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,19 Aug 2022,house,77,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139552267,Tregear,NSW,2770,41 Wilkes Crescent,"41 Wilkes Crescent, Tregear, NSW 2770",680000,"$680,000",house,3,1,1,,,657.6,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,08 Jul 2022,house,,657.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-138839287,Tregear,NSW,2770,97 Aurora Dr,"97 Aurora Dr, Tregear, NSW 2770",615000,"$615,000",house,3,1,2,,,601.0,m²,XCEMOU,Stockton Grange - Mount Druitt,,,08 Jul 2022,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139455403,Tregear,NSW,2770,15 Wilkes Crescent,"15 Wilkes Crescent, Tregear, NSW 2770",580000,"$580,000",house,3,1,0,,,594.0,m²,STASTM,Starr Partners Real Estate,,,06 Jul 2022,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139407907,Tregear,NSW,2770,4 Law Crescent,"4 Law Crescent, Tregear, NSW 2770",625000,"$625,000",house,3,1,1,,,581.7,m²,MULQUJ,Ray White Diamantidis Group,,,30 Jun 2022,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139324663,Tregear,NSW,2770,,,550000,"$550,000",house,3,1,1,,,619.0,m²,RZCPEN,Response Real Estate - Penrith ,,,27 Jun 2022,house,,619.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-138610531,Tregear,NSW,2770,73 Wilkes Crescent,"73 Wilkes Crescent, Tregear, NSW 2770",674000,"$674,000",house,3,2,0,,,556.4,m²,OJSUNZ,Harcourts Unlimited  - Blacktown,,,20 Jun 2022,house,,556.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139231335,Tregear,NSW,2770,19 Petersen Crescent,"19 Petersen Crescent, Tregear, NSW 2770",640000,"$640,000",house,3,1,2,,,544.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,02 Jun 2022,house,,544.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139284659,Tregear,NSW,2770,24 Mawson Road,"24 Mawson Road, Tregear, NSW 2770",520000,"$520,000",house,3,1,1,,,601.0,m²,XPNSTM,Professionals - St Marys & Erskine Park,,,26 May 2022,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139164915,Tregear,NSW,2770,5 Atka St,"5 Atka St, Tregear, NSW 2770",675000,"$675,000",house,3,1,1,,,550.0,m²,PAMOAT,Pam Easson Real Estate,,,10 May 2022,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-138989239,Tregear,NSW,2770,11 Petersen Crescent,"11 Petersen Crescent, Tregear, NSW 2770",600000,"$600,000",house,3,1,2,,,594.4,m²,MULQUJ,Ray White Diamantidis Group,,,04 May 2022,house,,594.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-138935831,Tregear,NSW,2770,23 Hasselburgh Road,"23 Hasselburgh Road, Tregear, NSW 2770",690000,"$690,000",house,3,1,1,,,-1.0,,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,03 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139005199,Tregear,NSW,2770,9 Norvegia Avenue,"9 Norvegia Avenue, Tregear, NSW 2770",641000,"$641,000",house,3,1,1,,,594.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,03 May 2022,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-139024111,Tregear,NSW,2770,41 Shackleton Avenue,"41 Shackleton Avenue, Tregear, NSW 2770",715000,"$715,000",house,3,1,2,,,606.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,24 Apr 2022,house,,606.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-138529447,Tregear,NSW,2770,5 Colbeck St,"5 Colbeck St, Tregear, NSW 2770",632000,"$632,000",house,3,1,2,,,556.0,m²,ZRYNFD,OKARO - Rooty Hill,,,11 Apr 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-138666587,Tregear,NSW,2770,17 Weddell Avenue,"17 Weddell Avenue, Tregear, NSW 2770",711000,"$711,000",house,3,1,0,,,644.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,24 Mar 2022,house,,644.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-137779886,Tregear,NSW,2770,34 Bransfield Street,"34 Bransfield Street, Tregear, NSW 2770",657000,"$657,000",house,3,1,1,,,594.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,31 Jan 2022,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-138186322,Tregear,NSW,2770,16 Erebus Crescent,"16 Erebus Crescent, Tregear, NSW 2770",567500,"$567,500",house,3,1,2,,,581.0,m²,GAHQWN,Nidus Group Real Estate,,,29 Jan 2022,house,,581.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-137924594,Tregear,NSW,2770,5 Belgica Street,"5 Belgica Street, Tregear, NSW 2770",590000,"$590,000",house,3,1,2,,,600.7,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,07 Jan 2022,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-138002114,Tregear,NSW,2770,33 Hatherton Road,"33 Hatherton Road, Tregear, NSW 2770",700250,"$700,250",house,3,1,1,80,m²,651.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,04 Jan 2022,house,80,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-137731310,Tregear,NSW,2770,4 Colbeck Street,"4 Colbeck Street, Tregear, NSW 2770",601000,"$601,000",house,3,1,2,,,588.1,m²,JEZYUI,LJ Hooker - Mount Druitt,,,01 Dec 2021,house,,588.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-137581854,Tregear,NSW,2770,32 Wilkes Crescent,"32 Wilkes Crescent, Tregear, NSW 2770",705000,"$705,000",house,3,1,1,,,626.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,19 Nov 2021,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-137443214,Tregear,NSW,2770,295 Luxford Road,"295 Luxford Road, Tregear, NSW 2770",695000,"$695,000",house,3,1,3,,,575.0,m²,NKVFNY,Property Results - ROPES CROSSING,,,09 Nov 2021,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-137526006,Tregear,NSW,2770,17 Nella Dan Avenue,"17 Nella Dan Avenue, Tregear, NSW 2770",620000,"$620,000",house,3,1,4,,,575.0,m²,XRHSTM,Raine & Horne - St Marys,,,04 Nov 2021,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-137500418,Tregear,NSW,2770,14 Mikkelsen Avenue,"14 Mikkelsen Avenue, Tregear, NSW 2770",700000,"$700,000",house,3,1,2,,,650.0,m²,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,02 Nov 2021,house,,650.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-137367066,Tregear,NSW,2770,25 Colbeck Street,"25 Colbeck Street, Tregear, NSW 2770",690000,"$690,000",house,3,1,1,94,m²,645.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,20 Oct 2021,house,94,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-137284482,Tregear,NSW,2770,47 Colbeck Street,"47 Colbeck Street, Tregear, NSW 2770",681000,"$681,000",house,3,1,1,,,563.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,07 Oct 2021,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-136889230,Tregear,NSW,2770,3 Colbeck St,"3 Colbeck St, Tregear, NSW 2770",680000,"$680,000",house,3,1,1,,,563.0,m²,ZRYNFD,OKARO - Rooty Hill,,,13 Sep 2021,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-136755602,Tregear,NSW,2770,1 Biscoe Place,"1 Biscoe Place, Tregear, NSW 2770",670000,"$670,000",house,3,1,5,,,613.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,13 Sep 2021,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-137072814,Tregear,NSW,2770,12 Weddell Avenue,"12 Weddell Avenue, Tregear, NSW 2770",590000,"$590,000",house,3,1,4,,,556.4,m²,MULQUJ,Ray White Diamantidis Group,,,08 Sep 2021,house,,556.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-136856838,Tregear,NSW,2770,28 Vincennes Ave,"28 Vincennes Ave, Tregear, NSW 2770",660000,"$660,000",house,3,1,2,,,613.0,m²,XCEMOU,Stockton Grange - Mount Druitt,,,02 Sep 2021,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-136803622,Tregear,NSW,2770,24 Kista Dan Avenue,"24 Kista Dan Avenue, Tregear, NSW 2770",638000,"$638,000",house,3,1,4,,,569.1,m²,JYDGKA,One Realty - Lidcombe,,,13 Aug 2021,house,,569.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-136695850,Tregear,NSW,2770,120 Wilkes Cres,"120 Wilkes Cres, Tregear, NSW 2770",550000,"$550,000",house,3,1,2,,,626.0,m²,MMIXNH,Ray White Mt Druitt,,,05 Aug 2021,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-136783230,Tregear,NSW,2770,19 Mikkelsen Avenue,"19 Mikkelsen Avenue, Tregear, NSW 2770",640000,"$640,000",house,3,2,1,,,575.0,m²,STASTM,Starr Partners Real Estate,,,30 Jul 2021,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-136473018,Tregear,NSW,2770,16 Nimrod Place,"16 Nimrod Place, Tregear, NSW 2770",550000,"$550,000",house,3,1,2,,,591.4,m²,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,13 Jul 2021,house,,591.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-136542482,Tregear,NSW,2770,14 Shackleton Avenue,"14 Shackleton Avenue, Tregear, NSW 2770",635000,"$635,000",house,3,1,1,,,765.0,m²,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,12 Jul 2021,house,,765.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-136110414,Tregear,NSW,2770,6 Belgica Street,"6 Belgica Street, Tregear, NSW 2770",525000,"$525,000",house,3,1,0,,,588.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,31 May 2021,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-135879558,Tregear,NSW,2770,85 McMurdo Avenue,"85 McMurdo Avenue, Tregear, NSW 2770",600000,"$600,000",house,3,1,2,,,601.0,m²,RZBBAU,Response Real Estate - Baulkham Hills,,,18 May 2021,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-135839490,Tregear,NSW,2770,57 Nella Dan Avenue,"57 Nella Dan Avenue, Tregear, NSW 2770",590000,"$590,000",house,3,1,2,,,563.0,m²,WRYSHJ,First National Hills Direct - The Ponds ,,,28 Apr 2021,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-133147174,Tregear,NSW,2770,26 Rymil Rd,"26 Rymil Rd, Tregear, NSW 2770",600000,"$600,000",house,3,2,2,,,-1.0,,YJKDTV,ForealProperty Pty Ltd - BELLA VISTA,,,20 Apr 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-135757654,Tregear,NSW,2770,59 Hatherton Road,"59 Hatherton Road, Tregear, NSW 2770",575000,"$575,000",house,3,1,2,,,575.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,16 Apr 2021,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-135735638,Tregear,NSW,2770,269 Luxford Rd,"269 Luxford Rd, Tregear, NSW 2770",633000,"$633,000",house,3,1,2,,,784.0,m²,NKVFNY,Property Results - ROPES CROSSING,,,09 Apr 2021,house,,784.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-135502250,Tregear,NSW,2770,18 Erebus Cres,"18 Erebus Cres, Tregear, NSW 2770",480000,"$480,000",house,3,1,0,,,569.0,m²,SNELEU,LJ Hooker Penrith - PENRITH,,,11 Mar 2021,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-135301322,Tregear,NSW,2770,65 Aurora Drive,"65 Aurora Drive, Tregear, NSW 2770",490000,"$490,000",house,3,1,3,,,600.0,m²,GAHQWN,Nidus Group Real Estate,,,05 Mar 2021,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-134860694,Tregear,NSW,2770,9 Weddell Avenue,"9 Weddell Avenue, Tregear, NSW 2770",496000,"$496,000",house,3,1,1,,,601.0,m²,FMWMJL,Nirvana Estate Agents - SCHOFIELDS,,,18 Dec 2020,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-134885602,Tregear,NSW,2770,16 Mikkelsen Avenue,"16 Mikkelsen Avenue, Tregear, NSW 2770",522000,"$522,000",house,3,1,3,,,640.0,m²,GAHQWN,Nidus Group Real Estate,,,12 Dec 2020,house,,640.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-132960798,Tregear,NSW,2770,39 Wilkes Crescent,"39 Wilkes Crescent, Tregear, NSW 2770",520000,"$520,000",house,3,1,2,,,594.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,13 Nov 2020,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-134500950,Tregear,NSW,2770,5 Norvegia Avenue,"5 Norvegia Avenue, Tregear, NSW 2770",515000,"$515,000",house,3,1,2,,,689.0,m²,OJSUNZ,Harcourts Unlimited  - Blacktown,,,26 Oct 2020,house,,689.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-134260782,Tregear,NSW,2770,30 Magga Dan Avenue,"30 Magga Dan Avenue, Tregear, NSW 2770",455000,"$455,000",house,3,1,1,,,619.7,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,09 Sep 2020,house,,619.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-133701454,Tregear,NSW,2770,5 Weddell Avenue,"5 Weddell Avenue, Tregear, NSW 2770",571500,"$571,500",house,3,2,4,,,683.0,m²,GAHQWN,Nidus Group Real Estate,,,30 Jul 2020,house,,683.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-133834346,Tregear,NSW,2770,22 Ellsworth Drive,"22 Ellsworth Drive, Tregear, NSW 2770",510000,"$510,000",house,3,1,4,,,563.0,m²,STASTM,Starr Partners Real Estate,,,16 Jul 2020,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-133294174,Tregear,NSW,2770,22 Amundsen Street,"22 Amundsen Street, Tregear, NSW 2770",474000,"$474,000",house,3,1,2,,,575.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,24 Jun 2020,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-133439506,Tregear,NSW,2770,9 Kista Dan Avenue,"9 Kista Dan Avenue, Tregear, NSW 2770",410000,"$410,000",house,3,1,1,,,581.7,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,17 Jun 2020,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-133593390,Tregear,NSW,2770,1 Bernacci Street,"1 Bernacci Street, Tregear, NSW 2770",500000,"$500,000",house,3,1,2,,,632.0,m²,OJSUNZ,Harcourts Unlimited  - Blacktown,,,29 May 2020,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-133318842,Tregear,NSW,2770,95 Aurora Drive,"95 Aurora Drive, Tregear, NSW 2770",430000,"$430,000",house,3,1,1,,,569.1,m²,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,08 Apr 2020,house,,569.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-tregear-133099578,Tregear,NSW,2770,113 Ellsworth Drive,"113 Ellsworth Drive, Tregear, NSW 2770",450000,"$450,000",house,3,1,1,,,588.0,m²,GAHQWN,Nidus Group Real Estate,,,24 Mar 2020,house,,588.0
