badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-127420006,Turramurra,NSW,2074,20D Stonecrop Road,"20D Stonecrop Road, Turramurra, NSW 2074",1800000,"$1,800,000",house,0,1,0,,,-1.0,,XCEGOA,Savills - SYDNEY,,,04 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-108120961,Turramurra,NSW,2074,8 Balmaringa,"8 Balmaringa, Turramurra, NSW 2074",870000,"$870,000",house,0,3,1,,,922.0,m²,SDSCHJ,Hallway Realty - .,,,17 Oct 2011,house,,922.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-105342647,Turramurra,NSW,2074,154 Burns Road,"154 Burns Road, Turramurra, NSW 2074",,Contact agent,house,0,1,0,,,-1.0,,,,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-136010266,Turramurra,NSW,2074,17 Konda Place,"17 Konda Place, Turramurra, NSW 2074",2100000,"$2,100,000",house,1,1,1,,,980.0,m²,LLETFN,Belle Property - Pymble,,,06 May 2021,house,,980.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-116553935,Turramurra,NSW,2074,116 Bobbin Head Road,"116 Bobbin Head Road, Turramurra, NSW 2074",1075000,"$1,075,000",house,1,1,0,,,861.6,m²,XCEGOA,Savills - SYDNEY,,,29 Apr 2014,house,,861.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-116253151,Turramurra,NSW,2074,21 Boomerang Street,"21 Boomerang Street, Turramurra, NSW 2074",1330000,"$1,330,000",house,1,1,0,,,1148.0,m²,XRWTUR,Ray White Upper North Shore -   ,,,24 Mar 2014,house,,1148.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-107234183,Turramurra,NSW,2074,11 Challis Avenue,"11 Challis Avenue, Turramurra, NSW 2074",,Contact agent,house,1,1,0,,,924.0,m²,,,,,02 Apr 2011,house,,924.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-105887618,Turramurra,NSW,2074,18 / 1219 Pacific Highway,"18 / 1219 Pacific Highway, Turramurra, NSW 2074",400000,"$400,000",house,1,1,1,,,-1.0,,ABCTUR,North Shore Realtors,,,15 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-140618611,Turramurra,NSW,2074,55 Yeramba Street,"55 Yeramba Street, Turramurra, NSW 2074",1630000,"$1,630,000",house,2,1,1,,,929.0,m²,MOXZVD,Stone Real Estate - Turramurra,,,27 Mar 2023,house,,929.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-133215014,Turramurra,NSW,2074,69 The Chase Road,"69 The Chase Road, Turramurra, NSW 2074",2110000,"$2,110,000",house,2,1,1,,,891.0,m²,XRWTUR,Ray White Upper North Shore -   ,,,21 Apr 2020,house,,891.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-133142258,Turramurra,NSW,2074,170 Bannockburn Road,"170 Bannockburn Road, Turramurra, NSW 2074",2380000,"$2,380,000",house,2,1,2,,,1151.0,m²,IABTUR,Chadwick Real Estate - Upper North Shore,,,25 Mar 2020,house,,1151.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-131048170,Turramurra,NSW,2074,8 Dryden Road,"8 Dryden Road, Turramurra, NSW 2074",1600000,"$1,600,000",house,2,1,2,,,917.0,m²,IABTUR,Chadwick Real Estate - Upper North Shore,,,13 May 2019,house,,917.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-128655842,Turramurra,NSW,2074,11 Timaru Street,"11 Timaru Street, Turramurra, NSW 2074",1410000,"$1,410,000",house,2,1,1,,,668.9,m²,MYUHRH,First National Real Estate Avenue - PYMBLE,,,21 Jul 2018,house,,668.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-127822266,Turramurra,NSW,2074,1 Dryden Road,"1 Dryden Road, Turramurra, NSW 2074",1535000,"$1,535,000",house,2,1,0,,,-1.0,,LLETFN,Belle Property - Pymble,,,07 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-126990730,Turramurra,NSW,2074,10 Buckra Street,"10 Buckra Street, Turramurra, NSW 2074",1282000,"$1,282,000",house,2,1,1,,,518.0,m²,XLJWAI,DiJones - Wahroonga,,,09 Dec 2017,house,,518.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-125009266,Turramurra,NSW,2074,34B Miowera Road,"34B Miowera Road, Turramurra, NSW 2074",1480000,"$1,480,000",house,2,1,1,,,-1.0,,XRWTUR,Ray White Upper North Shore -   ,,,27 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-122526698,Turramurra,NSW,2074,27 Ravenhill Road,"27 Ravenhill Road, Turramurra, NSW 2074",1200000,"$1,200,000",house,2,2,2,,,-1.0,,,,,,27 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-122648186,Turramurra,NSW,2074,11 Boronia Avenue,"11 Boronia Avenue, Turramurra, NSW 2074",1324000,"$1,324,000",house,2,1,1,,,1170.0,m²,XLJWAI,DiJones - Wahroonga,,,18 May 2016,house,,1170.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-122077862,Turramurra,NSW,2074,5 Carina Road,"5 Carina Road, Turramurra, NSW 2074",1285000,"$1,285,000",house,2,1,1,,,-1.0,,LMNYFL,McGrath - Pymble ,,,17 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-turramurra-120417497,Turramurra,NSW,2074,194 Kissing Point Road,"194 Kissing Point Road, Turramurra, NSW 2074",1200000,"$1,200,000",house,2,1,1,,,-1.0,,IABTUR,Chadwick Real Estate - Upper North Shore,,,31 Aug 2015,house,,-1.0
