badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-earlwood-108837906,Earlwood,NSW,2206,3/322-332 Homer Street,"3/322-332 Homer Street, Earlwood, NSW 2206",440000,"$440,000",residential-other,0,1,0,46.45,m²,-1.0,,XCEEAR,Favorito Real Estate - Earlwood,,,26 Feb 2013,house,46.45,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-earlwood-107459806,Earlwood,NSW,2206,22 Flinders Road,"22 Flinders Road, Earlwood, NSW 2206",840500,"$840,500",residential-other,0,1,0,,,-1.0,,TJCAHF,Stone Real Estate Earlwood -   ,,,07 Jun 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-106337265,Earlwood,NSW,2206,7 Kitchener Ave,"7 Kitchener Ave, Earlwood, NSW 2206",900000,"$900,000",house,0,1,0,,,-1.0,,KNALAK,Knapton & Co Pty Limited - Lakemba,,,14 Apr 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-127025750,Earlwood,NSW,2206,9/139 Homer Street,"9/139 Homer Street, Earlwood, NSW 2206",525000,"$525,000",house,1,1,0,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,09 May 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-122882610,Earlwood,NSW,2206,7 Kitchener Avenue,"7 Kitchener Avenue, Earlwood, NSW 2206",1630000,"$1,630,000",house,1,1,0,,,592.0,m²,XRWXBQ,Ray White - Earlwood,,,28 Jul 2016,house,,592.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-earlwood-120142497,Earlwood,NSW,2206,Shop 1/60 Earlwood Avenue,"Shop 1/60 Earlwood Avenue, Earlwood, NSW 2206",704000,"$704,000",residential-other,1,1,0,,,-1.0,,XRWXBQ,Ray White - Earlwood,,,30 Aug 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-earlwood-119682459,Earlwood,NSW,2206,3 Clarke Street,"3 Clarke Street, Earlwood, NSW 2206",2550000,"$2,550,000",residential-other,1,1,0,350,m²,350.0,m²,XRWXBQ,Ray White - Earlwood,,,28 May 2015,house,350,350.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-109631056,Earlwood,NSW,2206,3 Pomroy Avenue,"3 Pomroy Avenue, Earlwood, NSW 2206",775000,"$775,000",house,1,2,2,,,669.0,m²,XCEEAR,Favorito Real Estate - Earlwood,,,31 Mar 2012,house,,669.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-105778199,Earlwood,NSW,2206,17 Caroline Street,"17 Caroline Street, Earlwood, NSW 2206",340000,"$340,000",house,1,1,0,,,221.0,m²,XFNEAR,CobdenHayson - Earlwood,,,15 Jun 2009,house,,221.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-121927314,Earlwood,NSW,2206,19B Banks Road,"19B Banks Road, Earlwood, NSW 2206",727000,"$727,000",house,1,1,1,,,645.0,m²,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,26 Feb 2016,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-105544689,Earlwood,NSW,2206,7 Kitchener Avenue,"7 Kitchener Avenue, Earlwood, NSW 2206",707000,"$707,000",house,1,1,1,,,-1.0,,XRWXBQ,Ray White - Earlwood,,,23 Jul 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-105688471,Earlwood,NSW,2206,1 Bamboo Avenue,"1 Bamboo Avenue, Earlwood, NSW 2206",462000,"$462,000",house,1,1,0,,,-1.0,,XRWXBQ,Ray White - Earlwood,,,16 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-105351322,Earlwood,NSW,2206,2 Undercliffe Road,"2 Undercliffe Road, Earlwood, NSW 2206",790000,"$790,000",house,1,1,0,,,-1.0,,XRWXBQ,Ray White - Earlwood,,,06 Dec 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-105351323,Earlwood,NSW,2206,4 Undercliffe Road,"4 Undercliffe Road, Earlwood, NSW 2206",600000,"$600,000",house,1,1,0,,,-1.0,,XRWXBQ,Ray White - Earlwood,,,06 Dec 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-105351324,Earlwood,NSW,2206,7 Bamboo Avenue,"7 Bamboo Avenue, Earlwood, NSW 2206",,Contact agent,house,1,1,0,,,-1.0,,XRWXBQ,Ray White - Earlwood,,,06 Dec 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-104915698,Earlwood,NSW,2206,24B Undercliffe Road,"24B Undercliffe Road, Earlwood, NSW 2206",450000,"$450,000",house,1,1,0,,,404.0,m²,XCEEAR,Favorito Real Estate - Earlwood,,,19 Sep 2008,house,,404.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-105100789,Earlwood,NSW,2206,1 Bayview Ave,"1 Bayview Ave, Earlwood, NSW 2206",550000,"$550,000",house,1,1,0,,,-1.0,,XRWXBQ,Ray White - Earlwood,,,30 Aug 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-earlwood-105100792,Earlwood,NSW,2206,3 Bayview Ave,"3 Bayview Ave, Earlwood, NSW 2206",440000,"$440,000",house,1,1,0,,,-1.0,,XRWXBQ,Ray White - Earlwood,,,30 Aug 2008,house,,-1.0
