badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-134574558,Valentine,NSW,2280,79 Dilkera Avenue,"79 Dilkera Avenue, Valentine, NSW 2280",2580000,"$2,580,000",house,1,1,2,,,809.4,m²,NPWAGC,LJ Hooker Lake Macquarie - Warners Bay,,,05 Nov 2020,house,,809.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-105425813,Valentine,NSW,2280,4/42 Allambee Place,"4/42 Allambee Place, Valentine, NSW 2280",,Contact agent,house,1,1,0,,,-1.0,,NPWAGC,LJ Hooker Lake Macquarie - Warners Bay,,,29 Apr 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-137595982,Valentine,NSW,2280,39 Lindsay Avenue,"39 Lindsay Avenue, Valentine, NSW 2280",805000,"$805,000",house,2,1,1,,,550.0,m²,DOWBEL,First National Real Estate Engage Eastlakes - BELMONT,,,05 Nov 2021,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-133306434,Valentine,NSW,2280,80 Dilkera Avenue,"80 Dilkera Avenue, Valentine, NSW 2280",1280000,"$1,280,000",house,2,2,2,,,531.0,m²,JSUAAV,"Altitude Real Estate - Newcastle, Lake Macquarie & Hunter Valley",,,05 May 2020,house,,531.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-123817030,Valentine,NSW,2280,6/49 Lurnea Crescent,"6/49 Lurnea Crescent, Valentine, NSW 2280",465000,"$465,000",house,2,1,1,,,-1.0,,PRDNEW,"PRD Presence - Newcastle, Lake Macquarie & Central Coast -     ",,,31 Jan 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-valentine-137282566,Valentine,NSW,2280,1/5 Marquis Close,"1/5 Marquis Close, Valentine, NSW 2280",620000,"$620,000",duplex-semi-detached,2,1,1,,,-1.0,,VZUYFE,First National Real Estate - Toronto,,,16 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-131095346,Valentine,NSW,2280,12 Valentine Crescent,"12 Valentine Crescent, Valentine, NSW 2280",1105000,"$1,105,000",house,2,1,1,,,771.4,m²,NPWAGC,LJ Hooker Lake Macquarie - Warners Bay,,,13 Jun 2019,house,,771.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-129141414,Valentine,NSW,2280,39 Lindsay Avenue,"39 Lindsay Avenue, Valentine, NSW 2280",555000,"$555,000",house,2,1,1,,,-1.0,,DOWBEL,First National Real Estate Engage Eastlakes - BELMONT,,,12 Sep 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-128298874,Valentine,NSW,2280,2/20 Ruston Avenue,"2/20 Ruston Avenue, Valentine, NSW 2280",498000,"$498,000",house,2,1,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,02 Aug 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-126163558,Valentine,NSW,2280,4/12 Berringar Road,"4/12 Berringar Road, Valentine, NSW 2280",530000,"$530,000",house,2,2,1,170,m²,-1.0,,DOWBEL,First National Real Estate Engage Eastlakes - BELMONT,,,21 Sep 2017,house,170,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-125379046,Valentine,NSW,2280,4/54 Allambee Place,"4/54 Allambee Place, Valentine, NSW 2280",510000,"$510,000",house,2,1,2,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,29 Jun 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-valentine-123376382,Valentine,NSW,2280,2/20 Ruston Avenue,"2/20 Ruston Avenue, Valentine, NSW 2280",415000,"$415,000",duplex-semi-detached,2,1,1,,,-1.0,,NESBHL,First National Real Estate Lake Macquarie - Edgeworth,,,09 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-122029554,Valentine,NSW,2280,2/11 Monarch Crescent,"2/11 Monarch Crescent, Valentine, NSW 2280",434500,"$434,500",house,2,1,1,,,-1.0,,PRDNEW,"PRD Presence - Newcastle, Lake Macquarie & Central Coast -     ",,,16 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-119468271,Valentine,NSW,2280,56 Allambee Place,"56 Allambee Place, Valentine, NSW 2280",1020000,"$1,020,000",house,2,2,2,,,-1.0,,NPWAGC,LJ Hooker Lake Macquarie - Warners Bay,,,09 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valentine-119517271,Valentine,NSW,2280,39 Lindsay Avenue,"39 Lindsay Avenue, Valentine, NSW 2280",402500,"$402,500",house,2,1,1,,,550.1,m²,DOWBEL,First National Real Estate Engage Eastlakes - BELMONT,,,13 Apr 2015,house,,550.1
