badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-127396002,Valley Heights,NSW,2777,13 Russell Avenue,"13 Russell Avenue, Valley Heights, NSW 2777",,Contact agent,house,1,1,3,90,m²,1227.0,m²,,,,,16 Feb 2018,house,90,1227.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-111055407,Valley Heights,NSW,2777,,,,Contact agent,house,1,1,4,,,4047.0,m²,AJQDMV,Century 21 Combined - Springwood,,,11 Mar 2013,house,,4047.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-141415604,Valley Heights,NSW,2777,1/31 Wyoming Avenue,"1/31 Wyoming Avenue, Valley Heights, NSW 2777",605000,"$605,000",house,2,1,0,,,179.0,m²,JIAGLE,Jim Aitken + Partners - Glenbrook,,,24 Mar 2023,house,,179.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-136200802,Valley Heights,NSW,2777,2 Cambridge Street,"2 Cambridge Street, Valley Heights, NSW 2777",680000,"$680,000",house,2,1,1,,,657.0,m²,JIASPR,One Agency Springwood Ritchie Property Group,,,24 May 2021,house,,657.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-133612746,Valley Heights,NSW,2777,8 Green Parade,"8 Green Parade, Valley Heights, NSW 2777",637000,"$637,000",house,2,1,1,,,1410.0,m²,JIASPR,One Agency Springwood Ritchie Property Group,,,11 Jun 2020,house,,1410.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-128144890,Valley Heights,NSW,2777,40 Coolabah Road,"40 Coolabah Road, Valley Heights, NSW 2777",565000,"$565,000",house,2,1,1,,,986.4,m²,PVPWXS,Chapman Real Estate - Springwood,,,06 Jun 2019,house,,986.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-128358754,Valley Heights,NSW,2777,19 Great Western Highway,"19 Great Western Highway, Valley Heights, NSW 2777",550000,"$550,000",house,2,2,2,,,706.0,m²,XFNSPA,Lister Estate Agents - Springwood,,,14 Jun 2018,house,,706.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-128501502,Valley Heights,NSW,2777,4 Green Parade,"4 Green Parade, Valley Heights, NSW 2777",755170,"$755,170",house,2,1,1,,,1688.0,m²,PVPWXS,Chapman Real Estate - Springwood,,,31 May 2018,house,,1688.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-123918614,Valley Heights,NSW,2777,9 The Valley Road,"9 The Valley Road, Valley Heights, NSW 2777",569000,"$569,000",house,2,2,1,,,535.0,m²,DDSQFH,McGrath Lower Blue Mountains - BLAXLAND,,,01 Nov 2016,house,,535.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-123589774,Valley Heights,NSW,2777,14 Tayler Road,"14 Tayler Road, Valley Heights, NSW 2777",820000,"$820,000",house,2,1,0,,,4408.0,m²,SGIKVA,PRD Blue Mountains - SPRINGWOOD,,,15 Mar 2017,house,,4408.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-119780015,Valley Heights,NSW,2777,25 Peninsula Road,"25 Peninsula Road, Valley Heights, NSW 2777",484100,"$484,100",house,2,1,1,,,513.0,m²,JIASPR,One Agency Springwood Ritchie Property Group,,,02 Jun 2015,house,,513.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-116679219,Valley Heights,NSW,2777,30 Green Parade,"30 Green Parade, Valley Heights, NSW 2777",395000,"$395,000",house,2,1,2,,,2285.0,m²,AJQDMV,Century 21 Combined - Springwood,,,13 May 2014,house,,2285.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-115621375,Valley Heights,NSW,2777,12 Russell Avenue,"12 Russell Avenue, Valley Heights, NSW 2777",510000,"$510,000",house,2,2,1,,,-1.0,,XFNSPA,Lister Estate Agents - Springwood,,,04 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-114411959,Valley Heights,NSW,2777,17 The Valley Rd,"17 The Valley Rd, Valley Heights, NSW 2777",358000,"$358,000",house,2,1,1,,,1410.0,m²,AJQDMV,Century 21 Combined - Springwood,,,19 Aug 2013,house,,1410.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-114139903,Valley Heights,NSW,2777,23 Wyoming Avenue,"23 Wyoming Avenue, Valley Heights, NSW 2777",429000,"$429,000",house,2,1,11,,,1.19,ha,XRXPEP,Property Central - Penrith,,,01 Jul 2013,house,,11900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-106817694,Valley Heights,NSW,2777,13 Coolabah Road,"13 Coolabah Road, Valley Heights, NSW 2777",386500,"$386,500",house,2,2,0,,,-1.0,,JIAGLE,Jim Aitken + Partners - Glenbrook,,,07 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-106362462,Valley Heights,NSW,2777,26 Coolabah Road,"26 Coolabah Road, Valley Heights, NSW 2777",285000,"$285,000",house,2,1,0,,,904.0,m²,JIASPR,One Agency Springwood Ritchie Property Group,,,31 Mar 2010,house,,904.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-106195083,Valley Heights,NSW,2777,33 Peninsula Road,"33 Peninsula Road, Valley Heights, NSW 2777",305000,"$305,000",house,2,1,1,,,670.0,m²,JIASPR,One Agency Springwood Ritchie Property Group,,,15 Feb 2010,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-105838099,Valley Heights,NSW,2777,,,310000,"$310,000",house,2,1,0,,,-1.0,,,,,,02 Oct 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-105920723,Valley Heights,NSW,2777,40 Great Western Highway,"40 Great Western Highway, Valley Heights, NSW 2777",302000,"$302,000",house,2,1,0,,,1287.0,m²,JIASPR,One Agency Springwood Ritchie Property Group,,,26 Aug 2009,house,,1287.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-118493067,Valley Heights,NSW,2777,15 Cambridge Street,"15 Cambridge Street, Valley Heights, NSW 2777",,Contact agent,house,2,1,1,,,1301.0,m²,SGIKVA,PRD Blue Mountains - SPRINGWOOD,,,27 Feb 2015,house,,1301.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-111644287,Valley Heights,NSW,2777,,,,Contact agent,house,2,1,1,,,445.0,m²,AJQDMV,Century 21 Combined - Springwood,,,05 Nov 2012,house,,445.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-110806359,Valley Heights,NSW,2777,,,336000,"$336,000",house,2,1,1,,,986.0,m²,AJQDMV,Century 21 Combined - Springwood,,,10 Aug 2012,house,,986.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-106410922,Valley Heights,NSW,2777,,,,Contact agent,house,2,2,1,,,-1.0,,,,,,30 Apr 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-105947666,Valley Heights,NSW,2777,,,340000,"Range: $285,000 - $340,000",house,2,1,0,,,1391.0,m²,AJQDMV,Century 21 Combined - Springwood,,,12 Oct 2009,house,,1391.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-105163711,Valley Heights,NSW,2777,,,330000,"Range: $280,000 - $330,000",house,2,1,0,,,986.0,m²,AJQDMV,Century 21 Combined - Springwood,,,19 Dec 2008,house,,986.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-141193108,Valley Heights,NSW,2777,8 Wyoming Avenue,"8 Wyoming Avenue, Valley Heights, NSW 2777",655000,"$655,000",house,3,1,1,,,607.0,m²,DDSQFH,McGrath Lower Blue Mountains - BLAXLAND,,,27 Feb 2023,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-valley+heights-140950216,Valley Heights,NSW,2777,31 Green Parade,"31 Green Parade, Valley Heights, NSW 2777",730000,"$730,000",house,3,1,1,,,2801.0,m²,DDSQFH,McGrath Lower Blue Mountains - BLAXLAND,,,12 Dec 2022,house,,2801.0
