badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-villawood-116674499,Villawood,NSW,2163,5/19 Miowera Road,"5/19 Miowera Road, Villawood, NSW 2163",324000,"$324,000",warehouse,0,2,2,158,m²,-1.0,,EJLJDU,LJ Hooker Ingleburn - INGLEBURN,,,04 Sep 2014,house,158,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-114123375,Villawood,NSW,2163,,,,Contact agent,house,1,1,1,,,-1.0,,ABCBAP,Ray White - Bankstown,,,31 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-140967608,Villawood,NSW,2163,65 Biloela Street,"65 Biloela Street, Villawood, NSW 2163",720000,"$720,000",house,2,1,0,,,-1.0,,YBJMAU,LJ Hooker - Chester Hill,,,19 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-140882684,Villawood,NSW,2163,14 Alcoomie Street,"14 Alcoomie Street, Villawood, NSW 2163",902000,"$902,000",house,2,1,1,,,885.2,m²,ABCBAP,Ray White - Bankstown,,,10 Dec 2022,house,,885.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-140713655,Villawood,NSW,2163,97 Biloela Street,"97 Biloela Street, Villawood, NSW 2163",782000,"$782,000",house,2,1,2,,,622.0,m²,STRSTR,Strathfield Partners - Strathfield,,,21 Nov 2022,house,,622.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-140479527,Villawood,NSW,2163,5 Alcoomie Street,"5 Alcoomie Street, Villawood, NSW 2163",825000,"$825,000",house,2,1,1,,,-1.0,,YBJMAU,LJ Hooker - Chester Hill,,,24 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-140237451,Villawood,NSW,2163,117 Biloela Street,"117 Biloela Street, Villawood, NSW 2163",750000,"$750,000",house,2,1,0,,,-1.0,,YBJMAU,LJ Hooker - Chester Hill,,,26 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-139194263,Villawood,NSW,2163,4 Tuncoee Road,"4 Tuncoee Road, Villawood, NSW 2163",880000,"$880,000",house,2,2,2,,,550.0,m²,PMCTLJ,Marando Real Estate South West - South West,,,04 Jul 2022,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-139235907,Villawood,NSW,2163,119 Belar Avenue,"119 Belar Avenue, Villawood, NSW 2163",900000,"$900,000",house,2,1,1,,,714.5,m²,XRHCHF,First National - Chester Hill,,,28 May 2022,house,,714.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-138860515,Villawood,NSW,2163,71 Biloela Street,"71 Biloela Street, Villawood, NSW 2163",827000,"$827,000",house,2,1,1,,,682.0,m²,JNIEYN,John B.Grant Real Estate - Chester Hill,,,23 Apr 2022,house,,682.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-138800151,Villawood,NSW,2163,97 Biloela Street,"97 Biloela Street, Villawood, NSW 2163",835000,"$835,000",house,2,1,1,,,619.7,m²,XRHCHF,First National - Chester Hill,,,09 Apr 2022,house,,619.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-138409335,Villawood,NSW,2163,85 Alcoomie Street,"85 Alcoomie Street, Villawood, NSW 2163",1017000,"$1,017,000",house,2,1,0,,,739.0,m²,JNIEYN,John B.Grant Real Estate - Chester Hill,,,05 Mar 2022,house,,739.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-137697450,Villawood,NSW,2163,15 Biloela Street,"15 Biloela Street, Villawood, NSW 2163",980000,"$980,000",house,2,1,1,,,689.2,m²,WTNBAN,W.T. Newey & Company Pty Ltd - BANKSTOWN,,,27 Nov 2021,house,,689.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-137077042,Villawood,NSW,2163,18 Koonawarra Street,"18 Koonawarra Street, Villawood, NSW 2163",1078000,"$1,078,000",house,2,1,3,,,803.0,m²,XRHCHF,First National - Chester Hill,,,18 Sep 2021,house,,803.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-136830846,Villawood,NSW,2163,74 Koonoona Avenue,"74 Koonoona Avenue, Villawood, NSW 2163",935000,"$935,000",house,2,1,1,,,878.9,m²,XRHCHF,First National - Chester Hill,,,14 Aug 2021,house,,878.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-135150046,Villawood,NSW,2163,3 Goonaroi Street,"3 Goonaroi Street, Villawood, NSW 2163",927000,"$927,000",house,2,1,1,,,727.0,m²,XCEFAI,Century 21 - Fairfield,,,30 Jan 2021,house,,727.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-134857686,Villawood,NSW,2163,81 Koonoona Avenue,"81 Koonoona Avenue, Villawood, NSW 2163",691000,"$691,000",house,2,1,1,,,645.0,m²,XRHCHF,First National - Chester Hill,,,05 Dec 2020,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-132887702,Villawood,NSW,2163,161 Belar Avenue,"161 Belar Avenue, Villawood, NSW 2163",770000,"$770,000",house,2,1,1,,,678.0,m²,JNIEYN,John B.Grant Real Estate - Chester Hill,,,07 Feb 2020,house,,678.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-132580998,Villawood,NSW,2163,40 Wattle Avenue,"40 Wattle Avenue, Villawood, NSW 2163",680000,"$680,000",house,2,1,2,,,700.0,m²,IORKAI,LJ Hooker - Bankstown,,,17 Jan 2020,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-130777658,Villawood,NSW,2163,23 Goondah Street,"23 Goondah Street, Villawood, NSW 2163",580000,"$580,000",house,2,1,0,,,695.0,m²,JNIEYN,John B.Grant Real Estate - Chester Hill,,,03 May 2019,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-129310542,Villawood,NSW,2163,48 Culgoa Bend,"48 Culgoa Bend, Villawood, NSW 2163",490000,"$490,000",house,2,1,1,,,-1.0,,XRHCHF,First National - Chester Hill,,,26 Apr 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-villawood-129295890,Villawood,NSW,2163,4 Tuncoee Road,"4 Tuncoee Road, Villawood, NSW 2163",650000,"$650,000",house,2,1,2,,,550.0,m²,JNIEYN,John B.Grant Real Estate - Chester Hill,,,18 Oct 2018,house,,550.0
