badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-127012214,Vineyard,NSW,2765,11 / 7 Bandon Road,"11 / 7 Bandon Road, Vineyard, NSW 2765",185000,"$185,000",house,1,1,10,,,-1.0,,XRWXMT,First National Connect,,,15 Jan 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-121017542,Vineyard,NSW,2765,,,250000,"$250,000",house,1,1,1,,,-1.0,,,,,,14 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-121017654,Vineyard,NSW,2765,,,250000,"$250,000",house,1,1,1,,,-1.0,,,,,,14 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-121017694,Vineyard,NSW,2765,,,250000,"$250,000",house,1,1,1,,,-1.0,,,,,,14 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-121017446,Vineyard,NSW,2765,,,250000,"$250,000",house,1,1,1,,,-1.0,,,,,,14 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-vineyard-125380462,Vineyard,NSW,2765,675 Windsor Road,"675 Windsor Road, Vineyard, NSW 2765",,Contact agent,acreage,1,1,0,,,5.5,ha,TLMEKH,Professionals Homepoint Realty - RIVERSTONE,,,22 Dec 2017,house,,55000.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-vineyard-107307302,Vineyard,NSW,2765,58/7 Bandon,"58/7 Bandon, Vineyard, NSW 2765",190000,"Range: $160,000 - $190,000",duplex-semi-detached,1,1,1,,,-1.0,,,,,,10 Sep 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-109514461,Vineyard,NSW,2765,,,900000,"$900,000",house,1,1,0,,,-1.0,,PZQANP,Rance Property - Kenthurst,,,23 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-vineyard-107160911,Vineyard,NSW,2765,,,,Contact agent,acreage,1,2,0,,,-1.0,,EWFFJN,Dwight Real Estate - RICHMOND,,,18 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-105442619,Vineyard,NSW,2765,Lot 60-61 Perth Street,"Lot 60-61 Perth Street, Vineyard, NSW 2765",180000,"Range: $150,000 - $180,000",house,1,1,0,,,1114.0,m²,ANDBLA,Andrew Merton Real Estate - Quakers Hill,,,25 Aug 2010,house,,1114.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-135702578,Vineyard,NSW,2765,,,120000,"$120,000",house,2,1,1,,,-1.0,,XRWWIN,Ray White - Windsor,,,15 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-134151658,Vineyard,NSW,2765,,,220000,"$220,000",house,2,1,3,,,-1.0,,XRWWIN,Ray White - Windsor,,,29 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-131684586,Vineyard,NSW,2765,452 Windsor Road,"452 Windsor Road, Vineyard, NSW 2765",1450000,"$1,450,000",house,2,1,8,,,1.24,ha,VXQRKX,McGrath - Hawkesbury,,,24 Aug 2019,house,,12400.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-vineyard-133696242,Vineyard,NSW,2765,338 Old Hawkesbury Road,"338 Old Hawkesbury Road, Vineyard, NSW 2765",1600000,"$1,600,000",acreage,2,1,1,,,2.02,ha,TLMEKH,Professionals Homepoint Realty - RIVERSTONE,,,18 Nov 2020,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-129683878,Vineyard,NSW,2765,,,297000,"$297,000",house,2,1,3,127,m²,340.0,m²,PZQWIA,Richardson and Wrench - Windsor,,,11 Dec 2019,house,127,340.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-125043434,Vineyard,NSW,2765,28 WALLACE ROAD,"28 WALLACE ROAD, Vineyard, NSW 2765",1000000,"$1,000,000",house,2,1,2,,,1743.0,m²,XCERIV,Hometown Property Partners -  Riverstone,,,03 Jun 2017,house,,1743.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-137591222,Vineyard,NSW,2765,458 Windsor Road,"458 Windsor Road, Vineyard, NSW 2765",,Contact agent,house,2,1,2,,,2.02,ha,AYVGST,McGrath - Northwest,,,19 Nov 2021,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-vineyard-134333014,Vineyard,NSW,2765,22/217 Commercial Road,"22/217 Commercial Road, Vineyard, NSW 2765",,Contact agent,house,2,1,2,,,-1.0,,XRWWIN,Ray White - Windsor,,,07 Oct 2020,house,,-1.0
