badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-122727134,Wakeley,NSW,2176,,,,Contact agent,house,0,1,0,,,500.0,m²,DKIUSA,My Choice Real Estate - Cabramatta,,,30 Aug 2016,house,,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-137689914,Wakeley,NSW,2176,5 Devonport Street,"5 Devonport Street, Wakeley, NSW 2176",1150000,"$1,150,000",house,2,1,0,,,596.3,m²,IFPQGK,First National Westpoint - Horsley Park,,,24 Nov 2021,house,,596.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-122615798,Wakeley,NSW,2176,65 Bulls Road,"65 Bulls Road, Wakeley, NSW 2176",590000,"$590,000",house,2,1,1,,,594.0,m²,PRBSLA,Davids Estate Agents - HORSLEY PARK,,,07 Jul 2016,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-119703203,Wakeley,NSW,2176,65 Bulls Road,"65 Bulls Road, Wakeley, NSW 2176",505000,"$505,000",house,2,1,1,55,m²,594.0,m²,,,,,27 May 2015,house,55,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-141627840,Wakeley,NSW,2176,70 Burns Road,"70 Burns Road, Wakeley, NSW 2176",1121000,"$1,121,000",house,3,2,2,,,558.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,02 Apr 2023,house,,558.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-141222832,Wakeley,NSW,2176,12 Whyalla Cl,"12 Whyalla Cl, Wakeley, NSW 2176",966000,"$966,000",house,3,1,2,,,565.0,m²,BECKAI,LJ Hooker - Cabramatta  ,,,11 Feb 2023,house,,565.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-140848416,Wakeley,NSW,2176,27 Dorset Close,"27 Dorset Close, Wakeley, NSW 2176",995000,"$995,000",house,3,2,1,,,898.0,m²,HRXGDD,J Nguyen Property Agents - CANLEY VALE,,,12 Dec 2022,house,,898.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-140527199,Wakeley,NSW,2176,7 Warren Place,"7 Warren Place, Wakeley, NSW 2176",915000,"$915,000",house,3,1,2,,,557.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,27 Oct 2022,house,,557.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-140237907,Wakeley,NSW,2176,17 Esperance Crescent,"17 Esperance Crescent, Wakeley, NSW 2176",968000,"$968,000",house,3,1,2,,,558.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,01 Oct 2022,house,,558.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-139917803,Wakeley,NSW,2176,1/8-10 Humphries Road,"1/8-10 Humphries Road, Wakeley, NSW 2176",680000,"$680,000",house,3,1,1,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,18 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-139890583,Wakeley,NSW,2176,26 Richards Road,"26 Richards Road, Wakeley, NSW 2176",981000,"$981,000",house,3,1,3,,,588.0,m²,XNFLIV,PRD Real Estate - Liverpool,,,06 Aug 2022,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-138991239,Wakeley,NSW,2176,16 Strzelecki Close,"16 Strzelecki Close, Wakeley, NSW 2176",1000000,"$1,000,000",house,3,1,0,,,551.0,m²,LVASLW,Century 21 Partners - Hoxton Park,,,30 May 2022,house,,551.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-138797935,Wakeley,NSW,2176,67 Winburndale Road,"67 Winburndale Road, Wakeley, NSW 2176",900000,"$900,000",house,3,1,1,,,563.3,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,09 Apr 2022,house,,563.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-138750583,Wakeley,NSW,2176,15 Box Road,"15 Box Road, Wakeley, NSW 2176",950000,"$950,000",house,3,1,4,,,591.0,m²,PGGREK,Ray White - Canley Heights,,,02 Apr 2022,house,,591.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-138398347,Wakeley,NSW,2176,9/47 Mallacoota Street,"9/47 Mallacoota Street, Wakeley, NSW 2176",730000,"$730,000",house,3,2,1,,,-1.0,,EQMGZA,United Agents Property Group - WEST HOXTON,,,22 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-138227646,Wakeley,NSW,2176,11 Strzelecki Close,"11 Strzelecki Close, Wakeley, NSW 2176",980000,"$980,000",house,3,1,2,,,642.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,02 Feb 2022,house,,642.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wakeley-138013266,Wakeley,NSW,2176,12/47 Mallacoota Street,"12/47 Mallacoota Street, Wakeley, NSW 2176",685000,"$685,000",house,3,1,1,,,-1.0,,PMCTLJ,Marando Real Estate South West - South West,,,16 Dec 2021,house,,-1.0
