badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-walsh+bay-139552359,Walsh Bay,NSW,2000,PIER 6-7/19 HICKSON ROAD,"PIER 6-7/19 HICKSON ROAD, Walsh Bay, NSW 2000",,Contact agent,residential-other,0,1,0,,,-1.0,,WUICBA,AltHaus,,,05 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-137842794,Walsh Bay,NSW,2000,302/21a Hickson Road,"302/21a Hickson Road, Walsh Bay, NSW 2000",3040000,"$3,040,000",apartment,2,2,1,,,127.0,m²,PBBNFZ,McGrath Millers Point - SYDNEY,,,08 Dec 2021,unit apartment,,127.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-137506842,Walsh Bay,NSW,2000,517/19 Hickson Road,"517/19 Hickson Road, Walsh Bay, NSW 2000",3975000,"$3,975,000",apartment,2,2,1,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,26 Oct 2021,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-136330830,Walsh Bay,NSW,2000,401/1 Pottinger Street,"401/1 Pottinger Street, Walsh Bay, NSW 2000",3150000,"$3,150,000",apartment,2,2,1,,,-1.0,,PCLJZU,Ayre Real Estate,,,19 Jun 2021,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-132056882,Walsh Bay,NSW,2000,210/17 Hickson Road,"210/17 Hickson Road, Walsh Bay, NSW 2000",2380000,"$2,380,000",apartment,2,2,1,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,10 Oct 2019,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-130204526,Walsh Bay,NSW,2000,801/1 Pottinger Street,"801/1 Pottinger Street, Walsh Bay, NSW 2000",2675000,"$2,675,000",apartment,2,2,1,121,m²,-1.0,,GWGVNH,Belle Property - Pyrmont,,,15 Feb 2019,unit apartment,121,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-129827062,Walsh Bay,NSW,2000,706/1 Pottinger Street,"706/1 Pottinger Street, Walsh Bay, NSW 2000",2700000,"$2,700,000",apartment,2,2,1,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,23 Nov 2018,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-125984414,Walsh Bay,NSW,2000,406/17 Hickson Road,"406/17 Hickson Road, Walsh Bay, NSW 2000",2860000,"$2,860,000",apartment,2,2,1,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,16 Aug 2017,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-125776266,Walsh Bay,NSW,2000,513/19 Hickson Road,"513/19 Hickson Road, Walsh Bay, NSW 2000",3025000,"$3,025,000",apartment,2,2,1,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,04 Aug 2017,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-117568863,Walsh Bay,NSW,2000,320/19 Hickson Road,"320/19 Hickson Road, Walsh Bay, NSW 2000",1885000,"$1,885,000",apartment,2,2,1,130,m²,-1.0,,XMHSYD,McGrath - Double Bay,,,26 Sep 2014,unit apartment,130,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-134544486,Walsh Bay,NSW,2000,12 / 5 Towns Place,"12 / 5 Towns Place, Walsh Bay, NSW 2000",2300000,"$2,300,000",apartment,2,2,1,167,m²,184.0,m²,SOMAZG,Ray White Residential - Sydney CBD,,,29 Oct 2020,unit apartment,167,184.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-128386478,Walsh Bay,NSW,2000,603/21A Hickson Road,"603/21A Hickson Road, Walsh Bay, NSW 2000",2960000,"$2,960,000",apartment,2,2,1,115,m²,-1.0,,JZHIXO,City Living - Dawes Point,,,01 Jun 2018,unit apartment,115,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-120681625,Walsh Bay,NSW,2000,22/5 Towns Place,"22/5 Towns Place, Walsh Bay, NSW 2000",1800000,"$1,800,000",apartment,2,2,1,,,126.0,m²,XMHSYD,McGrath - Double Bay,,,11 Jul 2015,unit apartment,,126.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-114855591,Walsh Bay,NSW,2000,318/19 Hickson Road,"318/19 Hickson Road, Walsh Bay, NSW 2000",1730000,"$1,730,000",apartment,2,2,1,129,m²,-1.0,,XMHSYD,McGrath - Double Bay,,,15 Apr 2013,unit apartment,129,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-121652546,Walsh Bay,NSW,2000,311/19 Hickson Road,"311/19 Hickson Road, Walsh Bay, NSW 2000",1720000,"$1,720,000",apartment,2,2,1,128,m²,-1.0,,XMHSYD,McGrath - Double Bay,,,19 Oct 2012,unit apartment,128,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-walsh+bay-107348925,Walsh Bay,NSW,2000,103/1 Pottinger Street,"103/1 Pottinger Street, Walsh Bay, NSW 2000",1150000,"$1,150,000",apartment,2,2,1,,,152.0,m²,XMHSYD,McGrath - Double Bay,,,27 May 2011,unit apartment,,152.0
