badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-wangi+wangi-106572823,Wangi Wangi,NSW,2267,21 Lakeview Road,"21 Lakeview Road, Wangi Wangi, NSW 2267",500000,"$500,000",house,0,2,0,,,-1.0,,XFNTOT,Avery Property Professionals  -   ,,,26 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wangi+wangi-107165493,Wangi Wangi,NSW,2267,,,,Contact agent,house,0,1,0,,,-1.0,,XFNTOT,Avery Property Professionals  -   ,,,20 Apr 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wangi+wangi-138102562,Wangi Wangi,NSW,2267,143 Dobell Drive,"143 Dobell Drive, Wangi Wangi, NSW 2267",745000,"$745,000",house,1,1,1,,,982.0,m²,XRWTOR,Ray White - Toronto,,,10 Jan 2022,house,,982.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wangi+wangi-126714602,Wangi Wangi,NSW,2267,19 Reserve Road,"19 Reserve Road, Wangi Wangi, NSW 2267",410000,"$410,000",house,1,1,1,,,923.0,m²,VZUYFE,First National Real Estate - Toronto,,,21 Nov 2017,house,,923.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wangi+wangi-135162326,Wangi Wangi,NSW,2267,144 Watkins Road,"144 Watkins Road, Wangi Wangi, NSW 2267",730000,"$730,000",house,1,1,0,,,822.0,m²,AREENA,LJ Hooker Lake Macquarie - Wangi Wangi,,,04 Feb 2021,house,,822.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wangi+wangi-133328682,Wangi Wangi,NSW,2267,15 Kummari Road,"15 Kummari Road, Wangi Wangi, NSW 2267",370000,"$370,000",house,1,1,0,,,850.0,m²,XRWTOR,Ray White - Toronto,,,21 Aug 2020,house,,850.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wangi+wangi-132907382,Wangi Wangi,NSW,2267,287 Watkins Road,"287 Watkins Road, Wangi Wangi, NSW 2267",320000,"$320,000",house,1,1,0,,,373.0,m²,XRWTOR,Ray White - Toronto,,,30 Jul 2020,house,,373.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wangi+wangi-127031954,Wangi Wangi,NSW,2267,143 Dobell Drive,"143 Dobell Drive, Wangi Wangi, NSW 2267",432500,"$432,500",house,1,1,1,,,982.0,m²,XRWTOR,Ray White - Toronto,,,20 Dec 2017,house,,982.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wangi+wangi-120412609,Wangi Wangi,NSW,2267,19 Reserve Road,"19 Reserve Road, Wangi Wangi, NSW 2267",332000,"$332,000",house,1,1,0,,,923.0,m²,XFNTOT,Avery Property Professionals  -   ,,,02 Sep 2015,house,,923.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wangi+wangi-120151525,Wangi Wangi,NSW,2267,194 Watkins Road,"194 Watkins Road, Wangi Wangi, NSW 2267",332000,"$332,000",house,1,1,0,,,1115.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,07 Jul 2015,house,,1115.0
