badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-140082695,Wareemba,NSW,2046,20a Reginald Street,"20a Reginald Street, Wareemba, NSW 2046",2060000,"$2,060,000",house,2,1,1,,,341.5,m²,RAOCON,Raine & Horne - Concord | Strathfield ,,,23 Sep 2022,house,,341.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-137888022,Wareemba,NSW,2046,74 Wareemba Street,"74 Wareemba Street, Wareemba, NSW 2046",2580000,"$2,580,000",house,2,2,1,,,326.0,m²,JWHARZ,Raine & Horne - Five Dock/Drummoyne,,,24 Nov 2021,house,,326.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-135229346,Wareemba,NSW,2046,361 Great North Road,"361 Great North Road, Wareemba, NSW 2046",1370000,"$1,370,000",house,2,1,1,,,276.0,m²,XLJLEI,MONTANO GROUP - LEICHHARDT,,,06 Feb 2021,house,,276.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-131480278,Wareemba,NSW,2046,4 Hill Street,"4 Hill Street, Wareemba, NSW 2046",1500000,"$1,500,000",house,2,1,0,,,348.0,m²,XFNDRU,Devine Real Estate - Drummoyne,,,03 Aug 2019,house,,348.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-123858390,Wareemba,NSW,2046,5 Cecil Street,"5 Cecil Street, Wareemba, NSW 2046",1750000,"$1,750,000",house,2,1,1,,,348.0,m²,EXLCON,Exclusive Real Estate - Concord,,,14 Nov 2016,house,,348.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-123147826,Wareemba,NSW,2046,88 Edenholme Road,"88 Edenholme Road, Wareemba, NSW 2046",1560000,"$1,560,000",house,2,1,1,,,320.0,m²,XLJFIV,First National Five Dock Drummoyne - FIVE DOCK,,,13 Aug 2016,house,,320.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-121852534,Wareemba,NSW,2046,20 Hill Street,"20 Hill Street, Wareemba, NSW 2046",1500000,"$1,500,000",house,2,1,3,,,392.0,m²,RLKTTY,McGrath - Parramatta,,,05 Mar 2016,house,,392.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-121636250,Wareemba,NSW,2046,115 Edenholme Road,"115 Edenholme Road, Wareemba, NSW 2046",1295000,"$1,295,000",house,2,1,0,,,303.5,m²,WACDRU,Warwick Williams Real Estate - Drummoyne,,,13 Feb 2016,house,,303.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-120974802,Wareemba,NSW,2046,17 Reginald  Street,"17 Reginald  Street, Wareemba, NSW 2046",1525000,"$1,525,000",house,2,1,1,,,347.8,m²,WACDRU,Warwick Williams Real Estate - Drummoyne,,,07 Nov 2015,house,,347.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-125251262,Wareemba,NSW,2046,54 Coranto Street,"54 Coranto Street, Wareemba, NSW 2046",1740000,"$1,740,000",house,2,1,1,,,-1.0,,JWHARZ,Raine & Horne - Five Dock/Drummoyne,,,15 May 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-116262723,Wareemba,NSW,2046,115 Edenholme Road,"115 Edenholme Road, Wareemba, NSW 2046",1095000,"$1,095,000",house,2,1,0,,,303.5,m²,WACDRU,Warwick Williams Real Estate - Drummoyne,,,21 Mar 2014,house,,303.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-wareemba-115861415,Wareemba,NSW,2046,109 Edenholme Road,"109 Edenholme Road, Wareemba, NSW 2046",1001000,"$1,001,000",house,2,1,0,,,310.0,m²,WACDRU,Warwick Williams Real Estate - Drummoyne,,,15 Feb 2014,house,,310.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-wareemba-115352691,Wareemba,NSW,2046,62 Wareemba Street,"62 Wareemba Street, Wareemba, NSW 2046",957500,"$957,500",duplex-semi-detached,2,1,1,,,-1.0,,WACDRU,Warwick Williams Real Estate - Drummoyne,,,30 Nov 2013,house,,-1.0
