badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-106312264,North Manly,NSW,2100,28 Robert Avenue,"28 Robert Avenue, North Manly, NSW 2100",,Contact agent,house,0,1,0,,,700.0,m²,XLJHAR,Schwarz Real Estate - Northern Beaches,,,11 Mar 2010,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-106431392,North Manly,NSW,2100,23a Wakefield Street,"23a Wakefield Street, North Manly, NSW 2100",,Contact agent,house,0,1,0,,,-1.0,,XLJHAR,Schwarz Real Estate - Northern Beaches,,,25 Feb 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-oxford+falls-136275266,Oxford Falls,NSW,2100,1073 Spicer Road,"1073 Spicer Road, Oxford Falls, NSW 2100",3180000,"$3,180,000",house,1,1,2,,,1.49,ha,LIECOL,BowerGray - Dee Why,,,05 Jun 2021,house,,14900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brookvale-136179558,Brookvale,NSW,2100,24/34-36 Brookvale Ave,"24/34-36 Brookvale Ave, Brookvale, NSW 2100",735000,"$735,000",house,1,1,1,,,-1.0,,RCEDEE,Ratcliff Mathews - Dee Why,,,04 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-135082142,Allambie Heights,NSW,2100,25 Lyly Road,"25 Lyly Road, Allambie Heights, NSW 2100",,Contact agent,house,1,1,0,,,738.0,m²,QLALUO,JDH Real Estate - Northern Beaches,,,09 Dec 2020,house,,738.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brookvale-117113291,Brookvale,NSW,2100,9/46 Old Pittwater Road,"9/46 Old Pittwater Road, Brookvale, NSW 2100",421000,"$421,000",house,1,1,1,9.29,m²,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,10 Jun 2014,house,9.29,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-111583999,North Manly,NSW,2100,5 Corrie Road,"5 Corrie Road, North Manly, NSW 2100",,Contact agent,house,1,1,0,,,1221.0,m²,,,,,25 Oct 2012,house,,1221.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-106459772,Allambie Heights,NSW,2100,1 Larissa Road,"1 Larissa Road, Allambie Heights, NSW 2100",625000,"$625,000",house,1,1,0,,,-1.0,,,,,,20 Aug 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+manly-106029961,North Manly,NSW,2100,6/600 Pittwater Road,"6/600 Pittwater Road, North Manly, NSW 2100",440000,"$440,000",house,1,1,0,,,-1.0,,XLJHAR,Schwarz Real Estate - Northern Beaches,,,26 Oct 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-104647893,Allambie Heights,NSW,2100,1 Goondari Rd,"1 Goondari Rd, Allambie Heights, NSW 2100",,Contact agent,house,1,1,2,,,-1.0,,,,,,09 May 2008,house,,-1.0
