badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-137193462,Waterloo,NSW,2017,51 Beaumont Street,"51 Beaumont Street, Waterloo, NSW 2017",950000,"$950,000",house,1,1,0,,,70.0,m²,DITMPZ,Pocket Listings - MASCOT,,,11 Oct 2021,house,,70.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-waterloo-130667326,Waterloo,NSW,2017,31 McEvoy Street,"31 McEvoy Street, Waterloo, NSW 2017",798000,"$798,000",terrace,1,1,0,,,-1.0,,XNTWAT,Richardson & Wrench - Alexandria/Waterloo,,,28 Jun 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-124176290,Waterloo,NSW,2017,7 Kensington Street,"7 Kensington Street, Waterloo, NSW 2017",1068000,"$1,068,000",house,1,1,1,70,m²,95.0,m²,XFNSUR,Spencer & Servi -             ,,,17 Dec 2016,house,70,95.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-113860463,Waterloo,NSW,2017,29 McEvoy Street,"29 McEvoy Street, Waterloo, NSW 2017",642000,"$642,000",house,1,1,0,,,76.0,m²,OXHDAR,Oxford Agency,,,27 Jul 2013,house,,76.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-121767902,Waterloo,NSW,2017,9/52-54 McEvoy Street,"9/52-54 McEvoy Street, Waterloo, NSW 2017",580000,"$580,000",house,1,1,1,,,-1.0,,PUAMAR,PRD - Perez Real Estate,,,19 Feb 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-waterloo-107418981,Waterloo,NSW,2017,29 McEvoy Street,"29 McEvoy Street, Waterloo, NSW 2017",550000,"$550,000",terrace,1,1,0,63,m²,75.0,m²,XLSDRV,Roger Mickhail Property - Drummoyne,,,15 Sep 2011,house,63,75.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-107589934,Waterloo,NSW,2017,849 South Dowling Street,"849 South Dowling Street, Waterloo, NSW 2017",,Contact agent,house,1,1,1,61,m²,-1.0,,XRHPET,Raine & Horne - Petersham,,,08 Sep 2011,house,61,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-waterloo-107004803,Waterloo,NSW,2017,31 McEvoy Street,"31 McEvoy Street, Waterloo, NSW 2017",505000,"$505,000",terrace,1,1,0,,,-1.0,,XRWMAB,Ray White - Maroubra / South Coogee,,,21 Jan 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-105537658,Waterloo,NSW,2017,71 and 69a Wellington Street,"71 and 69a Wellington Street, Waterloo, NSW 2017",,Contact agent,house,1,1,0,,,-1.0,,XNTWAT,Richardson & Wrench - Alexandria/Waterloo,,,10 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-140771779,Waterloo,NSW,2017,17 Kensington Street,"17 Kensington Street, Waterloo, NSW 2017",1370000,"$1,370,000",house,2,1,1,,,95.0,m²,IXAZCL,The Agency - NSW,,,26 Nov 2022,house,,95.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-140674003,Waterloo,NSW,2017,68 Douglas Street,"68 Douglas Street, Waterloo, NSW 2017",1060000,"$1,060,000",house,2,1,0,,,116.0,m²,WDFKAE,Ray White Touma Group,,,11 Nov 2022,house,,116.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-140440167,Waterloo,NSW,2017,11 Kensington Street,"11 Kensington Street, Waterloo, NSW 2017",1160000,"$1,160,000",house,2,1,1,,,95.0,m²,ZZTIXB,Ray White - Woollahra | Paddington,,,22 Oct 2022,house,,95.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-140139271,Waterloo,NSW,2017,850 Elizabeth Street,"850 Elizabeth Street, Waterloo, NSW 2017",1250000,"$1,250,000",house,2,1,0,,,116.0,m²,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,29 Sep 2022,house,,116.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-waterloo-139974331,Waterloo,NSW,2017,7 Lenton Parade,"7 Lenton Parade, Waterloo, NSW 2017",1658000,"$1,658,000",house,2,3,1,,,-1.0,,IXAZCL,The Agency - NSW,,,15 Aug 2022,house,,-1.0
