badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-wedderburn-116790395,Wedderburn,NSW,2560,,,700000,"$700,000",house,2,1,0,,,6.92,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,11 Jul 2014,house,,69200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wedderburn-110791587,Wedderburn,NSW,2560,,,625000,"$625,000",house,2,1,0,,,-1.0,,LHYAVR,Ray White Macarthur Group - Ingleburn,,,10 Aug 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wedderburn-105124081,Wedderburn,NSW,2560,85 Minerva Rd,"85 Minerva Rd, Wedderburn, NSW 2560",,Contact agent,house,2,1,0,,,6.68,ha,PDTPTW,Ronis Real Estate - Bankstown,,,,house,,66800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wedderburn-135804186,Wedderburn,NSW,2560,20 Lysaght Road,"20 Lysaght Road, Wedderburn, NSW 2560",1420000,"$1,420,000",house,3,2,4,,,10.33,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,22 Apr 2021,house,,103300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wedderburn-132144158,Wedderburn,NSW,2560,19 Lysaght Road,"19 Lysaght Road, Wedderburn, NSW 2560",1150000,"$1,150,000",house,3,2,4,,,2.02,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,13 Nov 2019,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wedderburn-128843726,Wedderburn,NSW,2560,77 Lysaght Road,"77 Lysaght Road, Wedderburn, NSW 2560",1445000,"$1,445,000",house,3,1,4,,,4.05,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,02 Oct 2018,house,,40500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-wedderburn-119331971,Wedderburn,NSW,2560,,,880000,"$880,000",acreage,3,1,2,,,2.0,ha,XIYWHQ,Stone Real Estate Macarthur,,,11 Apr 2015,house,,20000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wedderburn-118416967,Wedderburn,NSW,2560,19 Lysaght Road,"19 Lysaght Road, Wedderburn, NSW 2560",685000,"$685,000",house,3,1,4,,,2.04,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,12 Dec 2014,house,,20400.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-wedderburn-111352475,Wedderburn,NSW,2560,74 Blackburn Road,"74 Blackburn Road, Wedderburn, NSW 2560",590000,"$590,000",acreage,3,1,4,,,-1.0,,XIYWHQ,Stone Real Estate Macarthur,,,10 Sep 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-wedderburn-118221263,Wedderburn,NSW,2560,77 Lysaght Road,"77 Lysaght Road, Wedderburn, NSW 2560",728000,"$728,000",acreage,3,1,10,,,4.05,ha,ABCCAQ,Professionals - Campbelltown,,,24 Nov 2014,house,,40500.0
