badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-139116043,Wentworthville,NSW,2145,7 Killeen Street,"7 Killeen Street, Wentworthville, NSW 2145",1550000,"$1,550,000",house,0,5,6,,,714.0,m²,XADUQA,Westmead Real Estate - WESTMEAD,,,11 May 2022,house,,714.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-124313426,Wentworthville,NSW,2145,98 Railway Street,"98 Railway Street, Wentworthville, NSW 2145",1050000,"$1,050,000",house,0,1,4,,,701.9,m²,STAWEN,Best Real Estate - Wentworthville,,,11 Jan 2017,house,,701.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-106487593,Wentworthville,NSW,2145,80 Essington,"80 Essington, Wentworthville, NSW 2145",472000,"$472,000",house,0,1,1,,,653.0,m²,XRHBAV,Trevor Leslie Real Estate - BAULKHAM HILLS,,,09 Jul 2010,house,,653.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-wentworthville-115456315,Wentworthville,NSW,2145,5 BRANSGROVE STREET,"5 BRANSGROVE STREET, Wentworthville, NSW 2145",,Contact agent,residential-other,0,1,2,,,563.0,m²,PYOZYN,Everything Realty - Westmead,,,12 Aug 2014,house,,563.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-wentworthville-113567547,Wentworthville,NSW,2145,38 Station  Street,"38 Station  Street, Wentworthville, NSW 2145",,Contact agent,residential-other,0,1,1,82,m²,213.0,m²,,,,,26 Nov 2013,house,82,213.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-126183170,Wentworthville,NSW,2145,356-360 Great Western Highway,"356-360 Great Western Highway, Wentworthville, NSW 2145",450000,"$450,000",house,1,1,0,,,-1.0,,XLSWEN,Laing+Simmons - Wentworthville,,,20 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-133857802,Wentworthville,NSW,2145,3A Stapleton Street,"3A Stapleton Street, Wentworthville, NSW 2145",1500000,"$1,500,000",house,1,1,1,,,1130.0,m²,XRWPAE,Ray White - Parramatta|Oatlands|Northmead|Greystanes,,,25 Jun 2020,house,,1130.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-115302151,Wentworthville,NSW,2145,34 Lane Street,"34 Lane Street, Wentworthville, NSW 2145",1545000,"$1,545,000",house,1,1,0,,,-1.0,,BSEEPP,Cale Property Agents - EPPING,,,23 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-107374135,Wentworthville,NSW,2145,49 Alto Street,"49 Alto Street, Wentworthville, NSW 2145",575000,"$575,000",house,1,1,2,,,-1.0,,JZESBX,Laing+Simmons - Merrylands,,,20 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-106795186,Wentworthville,NSW,2145,4 Rogers Street,"4 Rogers Street, Wentworthville, NSW 2145",450000,"$450,000",house,1,1,1,,,-1.0,,SVJASE,LJ Hooker - Wentworthville,,,11 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-wentworthville-124084086,Wentworthville,NSW,2145,1 Perry Street,"1 Perry Street, Wentworthville, NSW 2145",1450000,"$1,450,000",residential-other,1,2,0,,,902.0,m²,PYOZYN,Everything Realty - Westmead,,,13 Jan 2017,house,,902.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-113767903,Wentworthville,NSW,2145,304-308 GREAT WESTERN HIGHWAY,"304-308 GREAT WESTERN HIGHWAY, Wentworthville, NSW 2145",,Contact agent,house,1,3,4,,,1550.0,m²,PYOZYN,Everything Realty - Westmead,,,09 Nov 2015,house,,1550.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-wentworthville-105063949,Wentworthville,NSW,2145,48 Lindsay St,"48 Lindsay St, Wentworthville, NSW 2145",560000,"Range: $480,000 - $560,000",residential-other,1,1,0,,,1979.0,m²,,,,,24 Jul 2009,house,,1979.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-141474408,Wentworthville,NSW,2145,123 Darcy Road,"123 Darcy Road, Wentworthville, NSW 2145",2425000,"$2,425,000",house,2,1,1,,,1259.0,m²,RLKTTY,McGrath - Parramatta,,,18 Mar 2023,house,,1259.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-140990092,Wentworthville,NSW,2145,20 Oatlands Street,"20 Oatlands Street, Wentworthville, NSW 2145",1015000,"$1,015,000",house,2,1,4,,,537.5,m²,SSFFTE,Starr Partners - Wentworthville,,,03 Feb 2023,house,,537.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-141120800,Wentworthville,NSW,2145,4 Griffiths Street,"4 Griffiths Street, Wentworthville, NSW 2145",1033000,"$1,033,000",house,2,1,1,,,531.4,m²,SSFFTE,Starr Partners - Wentworthville,,,21 Jan 2023,house,,531.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-140705643,Wentworthville,NSW,2145,20 Warra Street,"20 Warra Street, Wentworthville, NSW 2145",1315000,"$1,315,000",house,2,1,4,,,-1.0,,RLKTTY,McGrath - Parramatta,,,19 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-139116647,Wentworthville,NSW,2145,42 Veron Street,"42 Veron Street, Wentworthville, NSW 2145",1125000,"$1,125,000",house,2,2,1,,,455.0,m²,LEFBPW,Manor Real Estate,,,16 May 2022,house,,455.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworthville-138858151,Wentworthville,NSW,2145,44 Haig Street,"44 Haig Street, Wentworthville, NSW 2145",1655000,"$1,655,000",house,2,1,1,,,674.0,m²,OWAKCV,Wiseberry - Rouse HIll,,,06 Apr 2022,house,,674.0
