badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-128068254,Werrington Downs,NSW,2747,7 Millstream Road,"7 Millstream Road, Werrington Downs, NSW 2747",521500,"$521,500",house,2,1,1,,,625.0,m²,XRWPEN,Ray White - Nepean Group,,,07 May 2018,house,,625.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-112485855,Werrington Downs,NSW,2747,,,290000,"$290,000",house,2,1,1,,,625.0,m²,,,,,18 Mar 2013,house,,625.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-141346456,Werrington Downs,NSW,2747,19 Wintercorn Row,"19 Wintercorn Row, Werrington Downs, NSW 2747",810000,"$810,000",house,3,1,1,94,m²,562.0,m²,XFNPRT,Stanton & Taylor - PENRITH,,,20 Feb 2023,house,94,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-140904420,Werrington Downs,NSW,2747,4 Sandy Glen,"4 Sandy Glen, Werrington Downs, NSW 2747",830000,"$830,000",house,3,2,2,,,650.0,m²,SNELEU,LJ Hooker Penrith - PENRITH,,,13 Dec 2022,house,,650.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-140990096,Werrington Downs,NSW,2747,3 Sandy Glen,"3 Sandy Glen, Werrington Downs, NSW 2747",785000,"$785,000",house,3,2,2,,,561.0,m²,DLITHI,One Agency Penrith - PENRITH,,,13 Dec 2022,house,,561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-140891672,Werrington Downs,NSW,2747,13 Corndew Crescent,"13 Corndew Crescent, Werrington Downs, NSW 2747",790000,"$790,000",house,3,2,2,,,625.0,m²,RHVPEN,Raine & Horne - Penrith & Mid Mountains,,,06 Dec 2022,house,,625.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-140636611,Werrington Downs,NSW,2747,9 Rivendell Crescent,"9 Rivendell Crescent, Werrington Downs, NSW 2747",782000,"$782,000",house,3,1,6,,,625.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,04 Nov 2022,house,,625.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-140362351,Werrington Downs,NSW,2747,4 Dewdrop Place,"4 Dewdrop Place, Werrington Downs, NSW 2747",822500,"$822,500",house,3,1,4,,,628.0,m²,YDZOQC,Jim Aitken + Partners - Jordan Springs,,,21 Oct 2022,house,,628.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-140424547,Werrington Downs,NSW,2747,61 Rivendell Crescent,"61 Rivendell Crescent, Werrington Downs, NSW 2747",732000,"$732,000",house,3,1,1,,,560.0,m²,DLITHI,One Agency Penrith - PENRITH,,,20 Oct 2022,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139943951,Werrington Downs,NSW,2747,42 Rivendell Crescent,"42 Rivendell Crescent, Werrington Downs, NSW 2747",787000,"$787,000",house,3,1,2,,,632.9,m²,MULQUJ,Ray White Diamantidis Group,,,14 Oct 2022,house,,632.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-140454111,Werrington Downs,NSW,2747,73 Greenbank Drive,"73 Greenbank Drive, Werrington Downs, NSW 2747",663000,"$663,000",house,3,1,2,,,-1.0,,MULQUJ,Ray White Diamantidis Group,,,13 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-140079603,Werrington Downs,NSW,2747,19 Ploughman Crescent,"19 Ploughman Crescent, Werrington Downs, NSW 2747",850000,"$850,000",house,3,2,1,,,629.0,m²,XNFPEN,PRD - PENRITH,,,30 Aug 2022,house,,629.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139661347,Werrington Downs,NSW,2747,102 Greenbank Drive,"102 Greenbank Drive, Werrington Downs, NSW 2747",700000,"$700,000",house,3,1,2,,,589.0,m²,JIAREG,Jim Aitken + Partners - Glenmore Park,,,15 Aug 2022,house,,589.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139571687,Werrington Downs,NSW,2747,7 Pioneer Grove,"7 Pioneer Grove, Werrington Downs, NSW 2747",762500,"$762,500",house,3,1,2,,,625.0,m²,XRWPEN,Ray White - Nepean Group,,,26 Jul 2022,house,,625.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139380427,Werrington Downs,NSW,2747,59 Rivendell Crescent,"59 Rivendell Crescent, Werrington Downs, NSW 2747",790000,"$790,000",house,3,1,1,,,560.0,m²,SNELEU,LJ Hooker Penrith - PENRITH,,,19 Jul 2022,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139659111,Werrington Downs,NSW,2747,11 Harvest Drive,"11 Harvest Drive, Werrington Downs, NSW 2747",740000,"$740,000",house,3,1,1,,,629.0,m²,RZCPEN,Response Real Estate - Penrith ,,,27 Jun 2022,house,,629.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139518531,Werrington Downs,NSW,2747,124 Greenbank Drive,"124 Greenbank Drive, Werrington Downs, NSW 2747",730000,"$730,000",house,3,1,1,,,628.0,m²,JIAPEN,Jim Aitken + Partners - Penrith,,,22 Jun 2022,house,,628.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139421911,Werrington Downs,NSW,2747,54A Greenbank Drive,"54A Greenbank Drive, Werrington Downs, NSW 2747",660000,"$660,000",house,3,1,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,13 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139364091,Werrington Downs,NSW,2747,7 Timber Grove,"7 Timber Grove, Werrington Downs, NSW 2747",1050000,"$1,050,000",house,3,2,2,,,853.0,m²,XRXPEP,Property Central - Penrith,,,06 Jun 2022,house,,853.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139131175,Werrington Downs,NSW,2747,16 Pioneer Grove,"16 Pioneer Grove, Werrington Downs, NSW 2747",885000,"$885,000",house,3,1,2,,,625.0,m²,JIAREG,Jim Aitken + Partners - Glenmore Park,,,31 May 2022,house,,625.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139137819,Werrington Downs,NSW,2747,5 Bungalow Parade,"5 Bungalow Parade, Werrington Downs, NSW 2747",855000,"$855,000",house,3,1,4,,,630.0,m²,XRWPEN,Ray White - Nepean Group,,,27 May 2022,house,,630.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-138996899,Werrington Downs,NSW,2747,150 Greenbank Drive,"150 Greenbank Drive, Werrington Downs, NSW 2747",920000,"$920,000",house,3,1,2,,,625.6,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,17 May 2022,house,,625.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139193943,Werrington Downs,NSW,2747,5 Gatehouse Circuit,"5 Gatehouse Circuit, Werrington Downs, NSW 2747",900000,"$900,000",house,3,1,1,,,791.0,m²,XRWPEN,Ray White - Nepean Group,,,16 May 2022,house,,791.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington+downs-139005155,Werrington Downs,NSW,2747,14 Bungalow Parade,"14 Bungalow Parade, Werrington Downs, NSW 2747",805000,"$805,000",house,3,1,3,,,566.0,m²,SNELEU,LJ Hooker Penrith - PENRITH,,,10 May 2022,house,,566.0
