badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-125969102,Werrington,NSW,2747,Lot 165  Lloyd street,"Lot 165  Lloyd street, Werrington, NSW 2747",,Contact agent,house,0,4,2,253.63,m²,450.0,m²,VGXSIQ,ANZ Real Estate Consultants - Marayong,,,19 Jul 2017,house,253.63,450.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-120549765,Werrington,NSW,2747,80b Irwin Street,"80b Irwin Street, Werrington, NSW 2747",425000,"$425,000",house,1,1,2,,,453.0,m²,RZCPEN,Response Real Estate - Penrith ,,,31 Aug 2015,house,,453.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-116151831,Werrington,NSW,2747,10/45 Victoria Street,"10/45 Victoria Street, Werrington, NSW 2747",200000,"$200,000",house,1,1,1,,,-1.0,,STASTM,Starr Partners Real Estate,,,07 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-103804106,Werrington,NSW,2747,,,,Contact agent,house,1,2,1,,,-1.0,,XFNPRT,Stanton & Taylor - PENRITH,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-104968517,Werrington,NSW,2747,,,,Contact agent,house,1,1,1,,,-1.0,,XFNPRT,Stanton & Taylor - PENRITH,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-141469792,Werrington,NSW,2747,115 Princess Street,"115 Princess Street, Werrington, NSW 2747",700000,"$700,000",house,2,1,1,,,607.0,m²,BEFHLR,Elders Real Estate  - Penrith,,,03 Mar 2023,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-137484798,Werrington,NSW,2747,80b Irwin Street,"80b Irwin Street, Werrington, NSW 2747",630000,"$630,000",house,2,1,2,,,453.0,m²,RZCPEN,Response Real Estate - Penrith ,,,19 Oct 2021,house,,453.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-137194218,Werrington,NSW,2747,1/80 Albert Street,"1/80 Albert Street, Werrington, NSW 2747",520000,"$520,000",house,2,1,1,,,-1.0,,SNELEU,LJ Hooker Penrith - PENRITH,,,27 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-134628982,Werrington,NSW,2747,1/2-8 Kazanis Court,"1/2-8 Kazanis Court, Werrington, NSW 2747",359000,"$359,000",house,2,1,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,12 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-129233078,Werrington,NSW,2747,1/80 Albert street,"1/80 Albert street, Werrington, NSW 2747",480000,"$480,000",house,2,1,1,,,-1.0,,KLKVCM,Wiseberry Penrith,,,23 Nov 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-128260818,Werrington,NSW,2747,44 Abacus Parade,"44 Abacus Parade, Werrington, NSW 2747",585000,"$585,000",house,2,2,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,20 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-125692714,Werrington,NSW,2747,9/49 Victoria Street,"9/49 Victoria Street, Werrington, NSW 2747",445000,"$445,000",house,2,1,2,,,-1.0,,STASTM,Starr Partners Real Estate,,,13 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-125539534,Werrington,NSW,2747,6/57-59 Victoria Street,"6/57-59 Victoria Street, Werrington, NSW 2747",340000,"$340,000",house,2,1,1,,,-1.0,,STASTM,Starr Partners Real Estate,,,13 Jun 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-124237082,Werrington,NSW,2747,65 Gibson Street,"65 Gibson Street, Werrington, NSW 2747",720000,"$720,000",house,2,1,1,,,923.2,m²,STASTM,Starr Partners Real Estate,,,31 Mar 2017,house,,923.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-136284462,Werrington,NSW,2747,67 ALBERT STREET,"67 ALBERT STREET, Werrington, NSW 2747",865000,"$865,000",house,2,1,3,,,1157.0,m²,MMDDUL,RE/MAX Lifestyle Marketing,,,21 May 2021,house,,1157.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-133604406,Werrington,NSW,2747,2/6-8 Parkes Avenue,"2/6-8 Parkes Avenue, Werrington, NSW 2747",300000,"$300,000",house,2,1,1,,,-1.0,,XRHSTM,Raine & Horne - St Marys,,,13 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-123882942,Werrington,NSW,2747,14 Landers Street,"14 Landers Street, Werrington, NSW 2747",710000,"$710,000",house,2,1,4,683,m²,-1.0,,XHANME,Harcourts Your Place - St Marys/ Mount Druitt,,,17 Nov 2016,house,683,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-121779786,Werrington,NSW,2747,11/57-59 Victoria Street,"11/57-59 Victoria Street, Werrington, NSW 2747",318000,"$318,000",house,2,1,1,,,-1.0,,XRHSTM,Raine & Horne - St Marys,,,01 Feb 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-118663399,Werrington,NSW,2747,Lot 116  French Street,"Lot 116  French Street, Werrington, NSW 2747",538700,"$538,700",house,2,2,1,,,-1.0,,,,,,19 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-119723627,Werrington,NSW,2747,6/60-62 Victoria Street,"6/60-62 Victoria Street, Werrington, NSW 2747",405000,"$405,000",house,2,1,1,,,-1.0,,STASTM,Starr Partners Real Estate,,,27 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-119081839,Werrington,NSW,2747,6/41-43 Victoria Street,"6/41-43 Victoria Street, Werrington, NSW 2747",300000,"$300,000",house,2,1,1,,,86.0,m²,XCESEV,Century 21 - John Ross Combined,,,13 Mar 2015,house,,86.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-118615699,Werrington,NSW,2747,14/60-62 Victoria Street,"14/60-62 Victoria Street, Werrington, NSW 2747",320000,"$320,000",house,2,1,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,22 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-118172807,Werrington,NSW,2747,40/40-42 Victoria Street,"40/40-42 Victoria Street, Werrington, NSW 2747",279000,"$279,000",house,2,1,1,,,-1.0,,OUIQFP,Laing+Simmons - The Abassi Group,,,04 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-117024827,Werrington,NSW,2747,5 Semaan Street,"5 Semaan Street, Werrington, NSW 2747",372000,"$372,000",house,2,1,3,,,578.0,m²,XRWPEN,Ray White - Nepean Group,,,06 Jun 2014,house,,578.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-116347747,Werrington,NSW,2747,147 Victoria Street,"147 Victoria Street, Werrington, NSW 2747",325000,"$325,000",house,2,1,2,,,544.0,m²,XCEWER,JLB Property - Werrington,,,16 May 2014,house,,544.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-115642863,Werrington,NSW,2747,6/2-8 Kazanis Court,"6/2-8 Kazanis Court, Werrington, NSW 2747",260000,"$260,000",house,2,1,1,,,-1.0,,STAPEN,Starr Partners - Glenmore Park & Penrith ,,,23 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-115181827,Werrington,NSW,2747,5/13 Walker Street,"5/13 Walker Street, Werrington, NSW 2747",235000,"$235,000",house,2,1,1,,,-1.0,,STAPEN,Starr Partners - Glenmore Park & Penrith ,,,11 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-114765447,Werrington,NSW,2747,7/2-8 Kazanis Court,"7/2-8 Kazanis Court, Werrington, NSW 2747",255000,"$255,000",house,2,1,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,01 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-109678011,Werrington,NSW,2747,5 Semaan Street,"5 Semaan Street, Werrington, NSW 2747",294000,"$294,000",house,2,1,1,,,578.0,m²,XRWPEN,Ray White - Nepean Group,,,17 May 2012,house,,578.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-werrington-106092929,Werrington,NSW,2747,14/56 Victoria Street,"14/56 Victoria Street, Werrington, NSW 2747",183000,"$183,000",house,2,1,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,29 Oct 2011,house,,-1.0
