badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-124071982,West Pymble,NSW,2073,177 Ryde Road,"177 Ryde Road, West Pymble, NSW 2073",950000,"$950,000",house,1,1,1,,,954.0,m²,MCFWAR,McConnell Bourn - North Shore,,,02 Dec 2016,house,,954.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-140218415,West Pymble,NSW,2073,59 Inverallan Avenue,"59 Inverallan Avenue, West Pymble, NSW 2073",2150000,"$2,150,000",house,2,1,2,,,714.0,m²,SFFWIO,Orr & Co -  Upper North Shore,,,28 Sep 2022,house,,714.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-139259139,West Pymble,NSW,2073,165 Ryde Road,"165 Ryde Road, West Pymble, NSW 2073",1540000,"$1,540,000",house,2,2,1,,,-1.0,,XRWTUR,Ray White Upper North Shore -   ,,,15 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-135706214,West Pymble,NSW,2073,63 Dunoon Avenue,"63 Dunoon Avenue, West Pymble, NSW 2073",1911000,"$1,911,000",house,2,1,1,,,873.0,m²,LLETFN,Belle Property - Pymble,,,03 Apr 2021,house,,873.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-135559402,West Pymble,NSW,2073,3 Bandalong Avenue,"3 Bandalong Avenue, West Pymble, NSW 2073",2025000,"$2,025,000",house,2,1,1,,,834.0,m²,LLETFN,Belle Property - Pymble,,,03 Mar 2021,house,,834.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-125333018,West Pymble,NSW,2073,39 Yanko Road,"39 Yanko Road, West Pymble, NSW 2073",1455000,"$1,455,000",house,2,2,1,,,1176.0,m²,LMNYFL,McGrath - Pymble ,,,20 May 2017,house,,1176.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-122414846,West Pymble,NSW,2073,2 Wyuna Road,"2 Wyuna Road, West Pymble, NSW 2073",1212000,"$1,212,000",house,2,1,1,,,835.0,m²,XCEGOA,Savills - SYDNEY,,,18 Apr 2016,house,,835.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-121816150,West Pymble,NSW,2073,100 Wallalong Crescent,"100 Wallalong Crescent, West Pymble, NSW 2073",1300000,"$1,300,000",house,2,1,0,,,-1.0,,MYUHRH,First National Real Estate Avenue - PYMBLE,,,06 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-121002714,West Pymble,NSW,2073,31 Boronga Ave,"31 Boronga Ave, West Pymble, NSW 2073",1338000,"$1,338,000",house,2,2,2,,,1200.0,m²,KEQWHS,Marshall.Chan.Yahl. -  North Shore,,,26 Nov 2015,house,,1200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-117255419,West Pymble,NSW,2073,5 Gloucester Avenue,"5 Gloucester Avenue, West Pymble, NSW 2073",960000,"$960,000",house,2,2,1,83.61,m²,530.0,m²,XCEGOA,Savills - SYDNEY,,,09 Jul 2014,house,83.61,530.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-113817427,West Pymble,NSW,2073,1 Inverallan Avenue,"1 Inverallan Avenue, West Pymble, NSW 2073",920000,"$920,000",house,2,1,1,,,844.0,m²,LMNYFL,McGrath - Pymble ,,,24 May 2013,house,,844.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-111816203,West Pymble,NSW,2073,220 Ryde Rd,"220 Ryde Rd, West Pymble, NSW 2073",520000,"$520,000",house,2,1,0,,,-1.0,,KEQWHS,Marshall.Chan.Yahl. -  North Shore,,,08 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-139974231,West Pymble,NSW,2073,4 Bandalong Avenue,"4 Bandalong Avenue, West Pymble, NSW 2073",2060000,"$2,060,000",house,2,1,1,,,1100.0,m²,XLJWAI,DiJones - Wahroonga,,,18 Aug 2022,house,,1100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-133141586,West Pymble,NSW,2073,59 Inverallan Avenue,"59 Inverallan Avenue, West Pymble, NSW 2073",1555000,"$1,555,000",house,2,1,1,,,714.0,m²,HFGPYM,Luschwitz Real Estate - Pymble,,,28 Mar 2020,house,,714.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-128928706,West Pymble,NSW,2073,3 Bandalong Avenue,"3 Bandalong Avenue, West Pymble, NSW 2073",1422000,"$1,422,000",house,2,1,1,,,834.0,m²,MOXZVD,Stone Real Estate - Turramurra,,,13 Sep 2018,house,,834.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+pymble-122535694,West Pymble,NSW,2073,47 Inverallen,"47 Inverallen, West Pymble, NSW 2073",,Contact agent,house,2,1,1,,,746.0,m²,,,,,19 May 2016,house,,746.0
