badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-west+ryde-108046911,West Ryde,NSW,2114,,,,Contact agent,residential-other,0,1,4,,,-1.0,,,,,,24 Jul 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-106964920,West Ryde,NSW,2114,7 Chatham,"7 Chatham, West Ryde, NSW 2114",,Contact agent,house,0,1,16,200.02,m²,1040.0,m²,GBSEFS,RE/MAX K1 - Eastwood,,,10 Nov 2011,house,200.02,1040.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-134206698,West Ryde,NSW,2114,3 Lawrence Street,"3 Lawrence Street, West Ryde, NSW 2114",1900000,"$1,900,000",house,1,1,1,,,954.0,m²,XNTWES,Green Real Estate Agency - West Ryde & Eastwood,,,22 Aug 2020,house,,954.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-131709318,West Ryde,NSW,2114,6/5 Maxim Street,"6/5 Maxim Street, West Ryde, NSW 2114",393000,"$393,000",house,1,1,1,,,-1.0,,XRWRDE,Richardson and Wrench Ryde City  - C K Arnold,,,03 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-west+ryde-116026307,West Ryde,NSW,2114,3/1 Maxim Street,"3/1 Maxim Street, West Ryde, NSW 2114",300000,"$300,000",residential-other,1,1,1,62,m²,-1.0,,XNTWES,Green Real Estate Agency - West Ryde & Eastwood,,,11 Dec 2014,house,62,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-105750061,West Ryde,NSW,2114,,,740000,"$740,000",house,1,1,8,,,-1.0,,HMAMDH,The Agency North West - RYDE,,,23 Jun 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-135615266,West Ryde,NSW,2114,1083 Victoria Road,"1083 Victoria Road, West Ryde, NSW 2114",1210000,"$1,210,000",house,1,1,2,,,189.6,m²,VTEOZO,Award Group Real Estate - Hills Central - West Ryde,,,09 Mar 2021,house,,189.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-133031074,West Ryde,NSW,2114,16 Orchard Street,"16 Orchard Street, West Ryde, NSW 2114",1260000,"$1,260,000",house,1,1,1,,,-1.0,,OZEIVQ,First National Ryde Group,,,16 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-130992798,West Ryde,NSW,2114,16 Orchard Street,"16 Orchard Street, West Ryde, NSW 2114",935000,"$935,000",house,1,1,2,,,448.0,m²,OZEIVQ,First National Ryde Group,,,09 May 2019,house,,448.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-122104606,West Ryde,NSW,2114,,,53000,"$53,000",house,1,1,0,,,-1.0,,HHXAMH,Melrose Park Realty,,,05 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-107295717,West Ryde,NSW,2114,5/15 Endeavour Street,"5/15 Endeavour Street, West Ryde, NSW 2114",290000,"$290,000",house,1,1,1,,,-1.0,,AMHVHE,Advisers Real Estate,,,09 Apr 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-107176601,West Ryde,NSW,2114,57/20 Herbert Street,"57/20 Herbert Street, West Ryde, NSW 2114",293800,"$293,800",house,1,1,1,,,-1.0,,XRWRDE,Richardson and Wrench Ryde City  - C K Arnold,,,31 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-107194545,West Ryde,NSW,2114,,,,Contact agent,house,1,1,4,,,228.0,m²,,,,,24 Mar 2011,house,,228.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-107194359,West Ryde,NSW,2114,,,,Contact agent,house,1,1,4,,,150.0,m²,,,,,22 Mar 2011,house,,150.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-104817152,West Ryde,NSW,2114,10/44 Forster Street,"10/44 Forster Street, West Ryde, NSW 2114",,Contact agent,house,1,1,1,,,-1.0,,,,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-141513980,West Ryde,NSW,2114,40 Mirool Street,"40 Mirool Street, West Ryde, NSW 2114",1800000,"$1,800,000",house,2,2,1,,,-1.0,,VTEOZO,Award Group Real Estate - Hills Central - West Ryde,,,16 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-140248319,West Ryde,NSW,2114,42 Moss Street,"42 Moss Street, West Ryde, NSW 2114",1850000,"$1,850,000",house,2,1,1,,,-1.0,,VTEOZO,Award Group Real Estate - Hills Central - West Ryde,,,24 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-west+ryde-135894998,West Ryde,NSW,2114,18 Hay Street,"18 Hay Street, West Ryde, NSW 2114",1872000,"$1,872,000",house,2,1,1,,,615.0,m²,XNTWES,Green Real Estate Agency - West Ryde & Eastwood,,,02 May 2021,house,,615.0
