badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-westleigh-134043478,Westleigh,NSW,2120,9a Elouera Road,"9a Elouera Road, Westleigh, NSW 2120",607000,"$607,000",house,1,1,2,,,267.0,m²,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,21 Sep 2020,house,,267.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-westleigh-106874428,Westleigh,NSW,2120,9A Elouera Road,"9A Elouera Road, Westleigh, NSW 2120",378000,"$378,000",house,1,1,2,,,-1.0,,JPHHOR,John Pye Real Estate - NSW,,,31 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-westleigh-136571366,Westleigh,NSW,2120,53 Quarter Sessions Road,"53 Quarter Sessions Road, Westleigh, NSW 2120",1290000,"$1,290,000",duplex-semi-detached,2,2,1,,,392.0,m²,AMNTHO,Allen & Sheppard - Thornleigh,,,29 Jun 2021,house,,392.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-westleigh-125306226,Westleigh,NSW,2120,1 Meredith Reach,"1 Meredith Reach, Westleigh, NSW 2120",1015000,"$1,015,000",house,2,2,1,,,-1.0,,DFRDIM,Ray White - Cherrybrook | Thornleigh | West Pennant Hills,,,18 May 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-westleigh-116449755,Westleigh,NSW,2120,55 Quarter Sessions Road,"55 Quarter Sessions Road, Westleigh, NSW 2120",750000,"$750,000",house,2,2,1,,,-1.0,,SYSIIL,DiJones - Northern Suburbs,,,04 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-westleigh-108097131,Westleigh,NSW,2120,3 Settlers Way,"3 Settlers Way, Westleigh, NSW 2120",580000,"$580,000",duplex-semi-detached,2,2,1,,,-1.0,,SYSIIL,DiJones - Northern Suburbs,,,20 Oct 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-westleigh-111559955,Westleigh,NSW,2120,80 Duffy Ave,"80 Duffy Ave, Westleigh, NSW 2120",1125000,"$1,125,000",house,2,1,4,,,-1.0,,XRWTUR,Ray White Upper North Shore -   ,,,13 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-westleigh-111019639,Westleigh,NSW,2120,123 Duffy Ave,"123 Duffy Ave, Westleigh, NSW 2120",565000,"$565,000",house,2,1,2,,,-1.0,,KEKTHO,Soames Real Estate - THORNLEIGH,,,21 Jun 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-westleigh-107223754,Westleigh,NSW,2120,57 Quarter Sessions Road,"57 Quarter Sessions Road, Westleigh, NSW 2120",580000,"$580,000",duplex-semi-detached,2,2,1,,,-1.0,,SYSIIL,DiJones - Northern Suburbs,,,06 Apr 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-westleigh-105359987,Westleigh,NSW,2120,51 Quarter Sessions Rd,"51 Quarter Sessions Rd, Westleigh, NSW 2120",530000,"$530,000",duplex-semi-detached,2,2,1,,,-1.0,,AMNTHO,Allen & Sheppard - Thornleigh,,,26 Nov 2008,house,,-1.0
