badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-133504634,Wheeler Heights,NSW,2097,109/180 South Creek Road,"109/180 South Creek Road, Wheeler Heights, NSW 2097",,Contact agent,house,1,1,1,,,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,12 Mar 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-137897578,Wheeler Heights,NSW,2097,22 Ambleside Street,"22 Ambleside Street, Wheeler Heights, NSW 2097",2011600,"$2,011,600",house,2,2,2,,,-1.0,,VRPHMP,Laing+Simmons - Narrabeen,,,30 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-134954386,Wheeler Heights,NSW,2097,1 Heather Street,"1 Heather Street, Wheeler Heights, NSW 2097",1540000,"$1,540,000",house,2,1,3,,,500.0,m²,VRPHMP,Laing+Simmons - Narrabeen,,,01 Dec 2020,house,,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-134185038,Wheeler Heights,NSW,2097,48 Ennerdale Crescent,"48 Ennerdale Crescent, Wheeler Heights, NSW 2097",1236000,"$1,236,000",house,2,1,1,,,563.0,m²,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,31 Jul 2020,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-107363286,Wheeler Heights,NSW,2097,37 Ennerdale Cresent,"37 Ennerdale Cresent, Wheeler Heights, NSW 2097",795000,"$795,000",house,2,2,2,,,-1.0,,SWEBAL,Sweetnams Real Estate - Balgowlah,,,23 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-125755534,Wheeler Heights,NSW,2097,52 Veterans Parade,"52 Veterans Parade, Wheeler Heights, NSW 2097",1582000,"$1,582,000",house,2,1,2,,,695.0,m²,XVAXEJ,McGrath - Collaroy | Dee Why,,,15 Jul 2017,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-141985668,Wheeler Heights,NSW,2097,62 Heather Street,"62 Heather Street, Wheeler Heights, NSW 2097",1870000,"$1,870,000",house,3,1,2,,,569.0,m²,SWEBAL,Sweetnams Real Estate - Balgowlah,,,28 Apr 2023,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-141368632,Wheeler Heights,NSW,2097,35 Coniston Street,"35 Coniston Street, Wheeler Heights, NSW 2097",1650000,"$1,650,000",house,3,2,2,,,556.0,m²,XVAXEJ,McGrath - Collaroy | Dee Why,,,10 Mar 2023,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-140273399,Wheeler Heights,NSW,2097,4 Derwent Street,"4 Derwent Street, Wheeler Heights, NSW 2097",1765000,"$1,765,000",house,3,2,3,,,581.7,m²,XLJAVA,LJ Hooker - Avalon Beach,,,16 Sep 2022,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-139947755,Wheeler Heights,NSW,2097,23 Derwent Street,"23 Derwent Street, Wheeler Heights, NSW 2097",1950000,"$1,950,000",house,3,1,2,,,569.0,m²,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,19 Aug 2022,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-138828559,Wheeler Heights,NSW,2097,92 Rose Avenue,"92 Rose Avenue, Wheeler Heights, NSW 2097",2000000,"$2,000,000",house,3,2,1,,,556.0,m²,XLJDEE,LJ Hooker - Dee Why,,,05 May 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-138516743,Wheeler Heights,NSW,2097,57 Heather Street,"57 Heather Street, Wheeler Heights, NSW 2097",2075000,"$2,075,000",house,3,1,2,,,785.0,m²,BEJMAN,Belle Property - Manly,,,18 Mar 2022,house,,785.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wheeler+heights-137809334,Wheeler Heights,NSW,2097,14 Berith Street,"14 Berith Street, Wheeler Heights, NSW 2097",2525000,"$2,525,000",house,3,1,3,,,1211.0,m²,PPSRQM,One Agency Hazlett & Poole,,,14 Feb 2022,house,,1211.0
