badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-wollongong-125553162,Wollongong,NSW,2500,15 Finlayson St,"15 Finlayson St, Wollongong, NSW 2500",590000,"$590,000",house,0,3,1,,,539.0,m²,,,,,17 Jun 2017,house,,539.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-wollongong-106349032,Wollongong,NSW,2500,337 Crown Street,"337 Crown Street, Wollongong, NSW 2500",,Contact agent,residential-other,0,2,0,,,-1.0,,,,,,07 Jul 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-wollongong-104955430,Wollongong,NSW,2500,Lot 5 Thomas Street,"Lot 5 Thomas Street, Wollongong, NSW 2500",295000,"Range: $245,000 - $295,000",residential-other,0,1,0,,,-1.0,,,,,,13 Feb 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wollongong-126237690,Wollongong,NSW,2500,Unit 5/32 Osborne Street,"Unit 5/32 Osborne Street, Wollongong, NSW 2500",341000,"$341,000",house,1,1,0,,,-1.0,,IOEZUI,R&W - Figtree,,,10 Sep 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wollongong-105008078,Wollongong,NSW,2500,135 Kenny St,"135 Kenny St, Wollongong, NSW 2500",349000,"$349,000",house,1,1,0,,,-1.0,,DPSWOL,Illawarra Estate Agents - WOLLONGONG,,,17 Sep 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wollongong-139074319,Wollongong,NSW,2500,14/36 Kembla Street,"14/36 Kembla Street, Wollongong, NSW 2500",430000,"$430,000",house,1,1,1,,,-1.0,,XRWDAP,Ray White - Dapto & Horsley,,,18 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wollongong-119908041,Wollongong,NSW,2500,,,,Contact agent,house,1,1,0,,,-1.0,,JPWHWX,Urban Property - Thirroul,,,06 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wollongong-113805539,Wollongong,NSW,2500,10/112-114 Corrimal  Street,"10/112-114 Corrimal  Street, Wollongong, NSW 2500",,Contact agent,house,1,1,1,,,-1.0,,XRXWOO,Professionals - Wollongong,,,24 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wollongong-111463591,Wollongong,NSW,2500,25/27 Osborne St,"25/27 Osborne St, Wollongong, NSW 2500",203000,"$203,000",house,1,1,1,,,-1.0,,MYCEDN,Stella Real Estate - Fairy Meadow,,,12 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wollongong-110732273,Wollongong,NSW,2500,1 / 12 Market Place,"1 / 12 Market Place, Wollongong, NSW 2500",215000,"$215,000",house,1,1,0,,,-1.0,,XRWXFI,Ray White - Woonona,,,24 Aug 2012,house,,-1.0
