badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-wombarra-111805147,Wombarra,NSW,2515,55 Morrison Avenue,"55 Morrison Avenue, Wombarra, NSW 2515",420000,"$420,000",house,1,1,0,,,765.0,m²,ROKTHI,Seacliff Property - THIRROUL,,,24 Apr 2013,house,,765.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wombarra-106865609,Wombarra,NSW,2515,629 Lawrence Hargrave Drive,"629 Lawrence Hargrave Drive, Wombarra, NSW 2515",960000,"$960,000",house,1,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,23 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wombarra-140375943,Wombarra,NSW,2515,99 Morrison Avenue,"99 Morrison Avenue, Wombarra, NSW 2515",1450000,"$1,450,000",house,2,1,2,,,4067.0,m²,NCOFLL,The Agency - Illawarra,,,18 Oct 2022,house,,4067.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wombarra-137885150,Wombarra,NSW,2515,11 Pit Road,"11 Pit Road, Wombarra, NSW 2515",2150000,"$2,150,000",house,2,2,2,,,810.0,m²,UTFACO,Molenaar + McNeice,,,04 Dec 2021,house,,810.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wombarra-135663586,Wombarra,NSW,2515,8 Haig Street,"8 Haig Street, Wombarra, NSW 2515",3405000,"$3,405,000",house,2,1,0,,,708.0,m²,XRWHEB,Ray White - Helensburgh,,,03 Apr 2021,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wombarra-135484598,Wombarra,NSW,2515,481 Lawrence Hargrave Drive,"481 Lawrence Hargrave Drive, Wombarra, NSW 2515",1750000,"$1,750,000",house,2,1,0,,,937.0,m²,ROKTHI,Seacliff Property - THIRROUL,,,15 Mar 2021,house,,937.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wombarra-126999350,Wombarra,NSW,2515,479-481 Lawrence Hargrave Drive,"479-481 Lawrence Hargrave Drive, Wombarra, NSW 2515",1620000,"$1,620,000",house,2,1,0,,,2000.0,m²,ROKTHI,Seacliff Property - THIRROUL,,,11 Jan 2018,house,,2000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wombarra-122155162,Wombarra,NSW,2515,6 Clutha Place,"6 Clutha Place, Wombarra, NSW 2515",780000,"$780,000",house,2,1,2,,,512.0,m²,MBSDRI,McGrath - Thirroul,,,19 Aug 2016,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wombarra-120487961,Wombarra,NSW,2515,142 Morrison Avenue,"142 Morrison Avenue, Wombarra, NSW 2515",950000,"$950,000",house,2,1,0,,,1729.0,m²,NCOFLL,The Agency - Illawarra,,,11 Sep 2015,house,,1729.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wombarra-131891526,Wombarra,NSW,2515,114 Morrison Avenue,"114 Morrison Avenue, Wombarra, NSW 2515",1100000,"$1,100,000",house,2,2,3,,,666.0,m²,RRQEVW,Dignam Real Estate,,,25 Nov 2019,house,,666.0
