badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-woodford-135274466,Woodford,NSW,2778,11 Stoneholm Lane,"11 Stoneholm Lane, Woodford, NSW 2778",465000,"$465,000",house,1,1,0,,,5900.0,m²,XRHWEN,McGrath - Blue Mountains,,,18 Jan 2021,house,,5900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woodford-107567201,Woodford,NSW,2778,56 Riches Avenue,"56 Riches Avenue, Woodford, NSW 2778",608000,"$608,000",house,1,1,0,,,8.75,ha,JIASPR,One Agency Springwood Ritchie Property Group,,,24 Aug 2011,house,,87500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woodford-134777138,Woodford,NSW,2778,101 Leumeah Road,"101 Leumeah Road, Woodford, NSW 2778",727000,"$727,000",house,1,1,0,,,1290.0,m²,HGWIOB,Chapman Real Estate - Hazelbrook,,,30 Nov 2020,house,,1290.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woodford-107457441,Woodford,NSW,2778,5 Forest Glen Road,"5 Forest Glen Road, Woodford, NSW 2778",,Contact agent,house,1,1,1,,,1400.0,m²,,,,,09 Aug 2011,house,,1400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woodford-107032248,Woodford,NSW,2778,10 Parker Street,"10 Parker Street, Woodford, NSW 2778",,Contact agent,house,1,1,0,,,-1.0,,,,,,01 Feb 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woodford-104973003,Woodford,NSW,2778,,,,Contact agent,house,1,1,0,,,1400.0,m²,,,,,28 Jan 2010,house,,1400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woodford-105494997,Woodford,NSW,2778,,,,Contact agent,house,1,1,0,162,m²,3804.0,m²,,,,,20 Oct 2009,house,162,3804.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woodford-105306371,Woodford,NSW,2778,,,275000,"Range: $235,000 - $275,000",house,1,1,1,,,1.59,ha,AJQDMV,Century 21 Combined - Springwood,,,12 Dec 2008,house,,15900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woodford-141325592,Woodford,NSW,2778,25 Leumeah Road,"25 Leumeah Road, Woodford, NSW 2778",790000,"$790,000",house,2,2,1,,,696.0,m²,XRHWEN,McGrath - Blue Mountains,,,01 May 2023,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woodford-140256687,Woodford,NSW,2778,4 Mona Road,"4 Mona Road, Woodford, NSW 2778",808000,"$808,000",house,2,1,1,,,5362.0,m²,AJQDMV,Century 21 Combined - Springwood,,,15 Sep 2022,house,,5362.0
