badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-woy+woy-103064873,Woy Woy,NSW,2256,82 Timbertop Dr,"82 Timbertop Dr, Woy Woy, NSW 2256",195000,"Range: $165,000 - $195,000",residential-other,0,1,0,,,693.0,m²,,,,,04 Nov 2016,house,,693.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-woy+woy-108177176,Woy Woy,NSW,2256,8 Jumbuck Crescent,"8 Jumbuck Crescent, Woy Woy, NSW 2256",430000,"$430,000",residential-other,0,2,16,,,-1.0,,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,01 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woy+woy-105992392,Woy Woy,NSW,2256,,,275000,"$275,000",house,0,1,0,,,-1.0,,ABCSRU,Raine & Horne - Umina Beach & Woy Woy  ,,,31 Oct 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woy+woy-138466071,Woy Woy,NSW,2256,40 Victoria Road,"40 Victoria Road, Woy Woy, NSW 2256",660000,"$660,000",house,1,1,1,,,-1.0,,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,09 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woy+woy-137445990,Woy Woy,NSW,2256,37-41 Waterview Street,"37-41 Waterview Street, Woy Woy, NSW 2256",3025000,"$3,025,000",house,1,1,0,,,1618.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,23 Dec 2021,house,,1618.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woy+woy-126875634,Woy Woy,NSW,2256,15 Dwyer Avenue,"15 Dwyer Avenue, Woy Woy, NSW 2256",725000,"$725,000",house,1,1,1,,,670.0,m²,KATWYO,McGrath - Gosford,,,28 Nov 2017,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woy+woy-135866670,Woy Woy,NSW,2256,23 Rothwell Street,"23 Rothwell Street, Woy Woy, NSW 2256",715000,"$715,000",house,1,1,3,,,708.2,m²,XRWDPT,Ray White - Woy Woy,,,08 May 2021,house,,708.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-woy+woy-133180250,Woy Woy,NSW,2256,32 Paton Street,"32 Paton Street, Woy Woy, NSW 2256",590000,"$590,000",house,1,1,1,,,683.0,m²,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,22 Jan 2021,house,,683.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woy+woy-133660034,Woy Woy,NSW,2256,42 Moana Street,"42 Moana Street, Woy Woy, NSW 2256",600500,"$600,500",house,1,1,2,,,-1.0,,XCEUMI,Wiseberry Peninsula - Umina Beach,,,18 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-woy+woy-125117750,Woy Woy,NSW,2256,12 Woy Woy Road,"12 Woy Woy Road, Woy Woy, NSW 2256",560000,"$560,000",house,1,1,1,,,-1.0,,GCZFWD,Richardson & Wrench - Umina Beach,,,28 Apr 2017,house,,-1.0
