badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyee-107612334,Wyee,NSW,2259,17 Collungra street,"17 Collungra street, Wyee, NSW 2259",,Contact agent,house,0,2,2,,,1012.0,m²,,,,,01 Dec 2011,house,,1012.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyee-107070229,Wyee,NSW,2259,7 coolungra street,"7 coolungra street, Wyee, NSW 2259",2308545000,"Range: $1,986,420,000 - $2,308,545,000",house,0,3,4,,,1000.0,m²,,,,,16 May 2011,house,,1000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyee-106358153,Wyee,NSW,2259,,,,Contact agent,house,0,1,0,,,18.62,ha,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,16 Jul 2010,house,,186200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyee-139030547,Wyee,NSW,2259,50 Pulbah Street,"50 Pulbah Street, Wyee, NSW 2259",283000,"$283,000",house,1,1,1,,,1012.0,m²,NFIAKY,Stone Real Estate - Wyong,,,07 Nov 2022,house,,1012.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyee-124463594,Wyee,NSW,2259,10-12 Coolamin Street,"10-12 Coolamin Street, Wyee, NSW 2259",795000,"$795,000",house,1,1,1,,,-1.0,,QTLSIP,One Agency Neil & Helena Mani - Gosford,,,02 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyee-122168470,Wyee,NSW,2259,5 Bukkai Road,"5 Bukkai Road, Wyee, NSW 2259",311200,"$311,200",house,1,1,0,,,1144.0,m²,ABFHFM,Pinkerton Properties Plus,,,20 Mar 2016,house,,1144.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-wyee-121523694,Wyee,NSW,2259,13 Tulkaba Road,"13 Tulkaba Road, Wyee, NSW 2259",106000,"$106,000",residential-other,1,1,1,,,920.0,m²,YOJJKK,George Brand Real Estate - Wyee,,,27 Jan 2016,house,,920.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyee-104076704,Wyee,NSW,2259,,,75000,"$75,000",house,1,1,0,,,-1.0,,YOJJKK,George Brand Real Estate - Wyee,,,10 Dec 2007,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyee-132761910,Wyee,NSW,2259,31 Tullokan Road,"31 Tullokan Road, Wyee, NSW 2259",,Contact agent,house,1,1,1,,,556.0,m²,YOJJKK,George Brand Real Estate - Wyee,,,19 May 2020,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyee-116079391,Wyee,NSW,2259,542 Bushells Ridge Road,"542 Bushells Ridge Road, Wyee, NSW 2259",173500,"$173,500",house,1,1,1,,,-1.0,,CAYGOR,Capital One Real Estate - Central Coast,,,06 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyee-110280945,Wyee,NSW,2259,,,,Contact agent,house,1,1,3,,,-1.0,,YOJJKK,George Brand Real Estate - Wyee,,,10 Jul 2012,house,,-1.0
