badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-wyoming-104536427,Wyoming,NSW,2250,,,1830000,"Range: $1,570,000 - $1,830,000",residential-other,0,1,0,,,3640.0,m²,,,,,15 Apr 2009,house,,3640.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyoming-134498070,Wyoming,NSW,2250,4/127 Maidens Brush Road,"4/127 Maidens Brush Road, Wyoming, NSW 2250",240000,"$240,000",house,1,1,0,,,-1.0,,GPDGOS,Raine & Horne - Gosford / East Gosford,,,20 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyoming-107191802,Wyoming,NSW,2250,,,310000,"$310,000",house,1,1,2,,,-1.0,,,,,,05 Dec 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyoming-110855583,Wyoming,NSW,2250,6 Cary Street,"6 Cary Street, Wyoming, NSW 2250",315000,"$315,000",house,1,1,0,,,-1.0,,GPDGOS,Raine & Horne - Gosford / East Gosford,,,29 Aug 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyoming-141417372,Wyoming,NSW,2250,30 Macgregor Street,"30 Macgregor Street, Wyoming, NSW 2250",570000,"$570,000",house,2,1,1,,,544.0,m²,HRELIS,LJ Hooker - East Gosford,,,22 Mar 2023,house,,544.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyoming-141350160,Wyoming,NSW,2250,131 Jarrett Street,"131 Jarrett Street, Wyoming, NSW 2250",712000,"$712,000",house,2,2,1,,,702.0,m²,PTRTER,Property Central - CENTRAL COAST,,,08 Mar 2023,house,,702.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-wyoming-138723439,Wyoming,NSW,2250,7/4 Kalawarra Road,"7/4 Kalawarra Road, Wyoming, NSW 2250",575000,"$575,000",duplex-semi-detached,2,2,1,,,398.0,m²,CAVXGI,Central Coast SELECT Properties - LISAROW,,,04 May 2022,house,,398.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyoming-138734643,Wyoming,NSW,2250,20 Nalkari Avenue,"20 Nalkari Avenue, Wyoming, NSW 2250",785000,"$785,000",house,2,1,3,,,1100.0,m²,PTRTER,Property Central - CENTRAL COAST,,,13 Apr 2022,house,,1100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyoming-138252018,Wyoming,NSW,2250,73 Wyoming Road,"73 Wyoming Road, Wyoming, NSW 2250",740000,"$740,000",house,2,1,1,,,556.0,m²,PTRTER,Property Central - CENTRAL COAST,,,28 Jan 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wyoming-137186514,Wyoming,NSW,2250,33 Halcyon Street,"33 Halcyon Street, Wyoming, NSW 2250",745000,"$745,000",house,2,1,1,,,651.0,m²,KATWYO,McGrath - Gosford,,,10 Sep 2021,house,,651.0
