badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-111571739,Yagoona West,NSW,2199,37 Warung Street,"37 Warung Street, Yagoona West, NSW 2199",530000,"$530,000",house,3,1,3,,,-1.0,,HZGSID,Professionals Bankstown - Bankstown,,,19 Sep 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-111761191,Yagoona West,NSW,2199,16 Warung Street,"16 Warung Street, Yagoona West, NSW 2199",540000,"$540,000",house,3,2,1,,,-1.0,,ABCBAP,Ray White - Bankstown,,,16 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-107166460,Yagoona West,NSW,2199,,,490000,"$490,000",house,3,1,1,,,-1.0,,XRHBAO,Wiseberry Bankstown - BANKSTOWN,,,04 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-107171500,Yagoona West,NSW,2199,35 Warung Street,"35 Warung Street, Yagoona West, NSW 2199",,Contact agent,house,3,2,3,,,556.0,m²,,,,,19 Feb 2011,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-106066050,Yagoona West,NSW,2199,32 Warung Street,"32 Warung Street, Yagoona West, NSW 2199",550000,"$550,000",house,3,2,2,,,-1.0,,ABCBAP,Ray White - Bankstown,,,07 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-105436935,Yagoona West,NSW,2199,,,385000,"$385,000",house,3,1,1,,,-1.0,,ABCBAP,Ray White - Bankstown,,,03 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-105026725,Yagoona West,NSW,2199,,,467500,"$467,500",house,3,1,3,,,-1.0,,ABCBAP,Ray White - Bankstown,,,26 Aug 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-yagoona+west-110716657,Yagoona West,NSW,2199,70A Cantrell Street,"70A Cantrell Street, Yagoona West, NSW 2199",490000,"$490,000",duplex-semi-detached,4,3,1,,,-1.0,,HPSBAN,Century 21 Homezone Real Estate - Bankstown,,,08 Aug 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-107074759,Yagoona West,NSW,2199,28 GREGORY STREET,"28 GREGORY STREET, Yagoona West, NSW 2199",499000,"$499,000",house,4,3,0,,,731.0,m²,WSJQJM,Homeworld Realty - Bankstown,,,18 Feb 2011,house,,731.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-105603349,Yagoona West,NSW,2199,,,490000,"$490,000",house,4,2,2,,,-1.0,,ABCBAP,Ray White - Bankstown,,,05 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-105356066,Yagoona West,NSW,2199,51 Warung Street,"51 Warung Street, Yagoona West, NSW 2199",480000,"$480,000",house,4,2,1,,,575.0,m²,ABCBAP,Ray White - Bankstown,,,04 Apr 2009,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yagoona+west-104991086,Yagoona West,NSW,2199,60 Waruda St,"60 Waruda St, Yagoona West, NSW 2199",330000,"$330,000",house,4,1,2,,,518.0,m²,IORKAI,LJ Hooker - Bankstown,,,08 Dec 2008,house,,518.0
Sold,https://www.realestate.com.au/sold/property-villa-nsw-yagoona+west-113554459,Yagoona West,NSW,2199,6/36-40 The Avenue,"6/36-40 The Avenue, Yagoona West, NSW 2199",,Contact agent,villa,2,1,2,,,196.0,m²,WSJQJM,Homeworld Realty - Bankstown,,,03 May 2013,villa,,196.0
