badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramalong-119560255,Yarramalong,NSW,2259,86 Kingtree Lane,"86 Kingtree Lane, Yarramalong, NSW 2259",937000,"$937,000",acreage,0,1,2,,,14.57,ha,XFNWYO,Coastwide First National -   ,,,30 Nov 2015,house,,145700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramalong-115656811,Yarramalong,NSW,2259,227 Ravensdale Road,"227 Ravensdale Road, Yarramalong, NSW 2259",425000,"$425,000",house,0,1,1,,,8055.0,m²,XFNWYO,Coastwide First National -   ,,,13 Aug 2013,house,,8055.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramalong-106397132,Yarramalong,NSW,2259,1203 Yarramalong Road,"1203 Yarramalong Road, Yarramalong, NSW 2259",1200000,"Range: $1,025,000 - $1,200,000",acreage,0,1,3,,,-1.0,,CQQWYO,Ray White - Coast Edge,,,09 Jun 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramalong-122161130,Yarramalong,NSW,2259,10 Priests Ridge Road,"10 Priests Ridge Road, Yarramalong, NSW 2259",415000,"$415,000",acreage,1,1,0,,,16.19,ha,CQQWYO,Ray White - Coast Edge,,,24 May 2016,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramalong-120344509,Yarramalong,NSW,2259,105 Priests Ridge Road,"105 Priests Ridge Road, Yarramalong, NSW 2259",362000,"$362,000",acreage,1,1,3,,,41.28,ha,CQQWYO,Ray White - Coast Edge,,,31 Aug 2015,house,,412800.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramalong-106405271,Yarramalong,NSW,2259,1203 Yarramalong Road,"1203 Yarramalong Road, Yarramalong, NSW 2259",,Contact agent,acreage,1,1,0,,,38.04,ha,CAYGOR,Capital One Real Estate - Central Coast,,,27 May 2010,house,,380400.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramalong-105874651,Yarramalong,NSW,2259,Lot 9008 Yarramalong Road,"Lot 9008 Yarramalong Road, Yarramalong, NSW 2259",,Contact agent,acreage,1,1,0,,,2.63,ha,CAYGOR,Capital One Real Estate - Central Coast,,,01 Dec 2009,house,,26300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramalong-104953331,Yarramalong,NSW,2259,,,,Contact agent,house,1,1,0,,,-1.0,,XFNWYO,Coastwide First National -   ,,,19 Dec 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramalong-135604866,Yarramalong,NSW,2259,321 Bunning Creek Road,"321 Bunning Creek Road, Yarramalong, NSW 2259",1200000,"$1,200,000",acreage,2,1,2,,,-1.0,,BSYZJT,Capital One Real Estate - Lifestyle,,,09 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramalong-126286914,Yarramalong,NSW,2259,23 Linga Longa Road,"23 Linga Longa Road, Yarramalong, NSW 2259",550000,"$550,000",house,2,1,1,,,781.0,m²,RCYGQP,The Property Market - Central Coast,,,19 Sep 2017,house,,781.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramalong-122346518,Yarramalong,NSW,2259,1869 Yarramalong Road,"1869 Yarramalong Road, Yarramalong, NSW 2259",540000,"$540,000",house,2,1,4,,,2023.0,m²,CAYGOR,Capital One Real Estate - Central Coast,,,06 May 2016,house,,2023.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramalong-118711079,Yarramalong,NSW,2259,1869 Yarramalong Road,"1869 Yarramalong Road, Yarramalong, NSW 2259",350000,"$350,000",acreage,2,1,1,,,2023.43,m²,XFNWYO,Coastwide First National -   ,,,24 Dec 2014,house,,2023.43
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramalong-111709039,Yarramalong,NSW,2259,350 Bunning Creek Road,"350 Bunning Creek Road, Yarramalong, NSW 2259",560000,"$560,000",house,2,1,4,,,45.73,ha,XFNWYO,Coastwide First National -   ,,,09 Aug 2013,house,,457299.99999999994
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramalong-113133847,Yarramalong,NSW,2259,1632 Yarramalong Road,"1632 Yarramalong Road, Yarramalong, NSW 2259",310000,"$310,000",house,2,1,3,,,904.0,m²,RCYGQP,The Property Market - Central Coast,,,19 Apr 2013,house,,904.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramalong-107259185,Yarramalong,NSW,2259,,,,Contact agent,house,2,1,1,,,684.0,m²,XFNWYO,Coastwide First National -   ,,,09 May 2011,house,,684.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramalong-106681557,Yarramalong,NSW,2259,81 Brush Creek Road,"81 Brush Creek Road, Yarramalong, NSW 2259",520000,"$520,000",acreage,2,1,2,,,2.53,ha,CAYGOR,Capital One Real Estate - Central Coast,,,25 Sep 2010,house,,25299.999999999996
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramalong-105432721,Yarramalong,NSW,2259,,,480000,"Range: $410,000 - $480,000",acreage,2,1,0,,,-1.0,,CQQWYO,Ray White - Coast Edge,,,12 Jun 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramalong-105656205,Yarramalong,NSW,2259,,,,Contact agent,house,2,1,2,,,929.0,m²,XFNWYO,Coastwide First National -   ,,,29 May 2009,house,,929.0
