badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramundi-106092150,Yarramundi,NSW,2753,,,,Contact agent,acreage,1,1,0,,,-1.0,,RHVPEN,Raine & Horne - Penrith & Mid Mountains,,,13 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-139916491,Yarramundi,NSW,2753,109 Hillcrest Road,"109 Hillcrest Road, Yarramundi, NSW 2753",1850000,"$1,850,000",house,2,1,7,,,10.12,ha,HCRRIC,Ray White - Richmond,,,09 Sep 2022,house,,101199.99999999999
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramundi-130958582,Yarramundi,NSW,2753,103 Hillcrest Road,"103 Hillcrest Road, Yarramundi, NSW 2753",785000,"$785,000",acreage,2,1,3,,,4047.0,m²,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,28 May 2019,house,,4047.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-137059066,Yarramundi,NSW,2753,81 Kestrel Way,"81 Kestrel Way, Yarramundi, NSW 2753",1577000,"$1,577,000",house,3,2,5,,,3115.0,m²,HCRRIC,Ray White - Richmond,,,27 Aug 2021,house,,3115.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-123756698,Yarramundi,NSW,2753,739 Springwood Road,"739 Springwood Road, Yarramundi, NSW 2753",1010000,"$1,010,000",house,3,1,0,,,2.33,ha,XNRUVE,Belle Property Hawkesbury - NORTH RICHMOND,,,05 Nov 2016,house,,23300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-127450698,Yarramundi,NSW,2753,56 River Road,"56 River Road, Yarramundi, NSW 2753",980000,"$980,000",house,3,3,2,,,2094.0,m²,THKRIC,Wiseberry Thompsons,,,01 Mar 2018,house,,2094.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-124074530,Yarramundi,NSW,2753,72 RIVERSIDE DRIVE,"72 RIVERSIDE DRIVE, Yarramundi, NSW 2753",1120000,"$1,120,000",house,3,1,2,,,2253.0,m²,RHVPEN,Raine & Horne - Penrith & Mid Mountains,,,03 Feb 2017,house,,2253.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-yarramundi-112610155,Yarramundi,NSW,2753,87 Riverside Drive,"87 Riverside Drive, Yarramundi, NSW 2753",807500,"$807,500",acreage,3,2,8,,,-1.0,,,,,,21 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-105663275,Yarramundi,NSW,2753,,,599000,"$599,000",house,3,2,2,,,-1.0,,BFERIC,Bennett Property - Richmond,,,07 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-135659534,Yarramundi,NSW,2753,607 Springwood Road,"607 Springwood Road, Yarramundi, NSW 2753",830000,"$830,000",house,3,2,2,,,836.0,m²,HCRRIC,Ray White - Richmond,,,14 Apr 2021,house,,836.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-117396439,Yarramundi,NSW,2753,153 Hillcrest Road,"153 Hillcrest Road, Yarramundi, NSW 2753",665000,"$665,000",house,3,1,0,,,2.46,ha,HCRRIC,Ray White - Richmond,,,30 Aug 2014,house,,24600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-105493472,Yarramundi,NSW,2753,,,765000,"$765,000",house,3,1,1,,,8.01,ha,THKRIC,Wiseberry Thompsons,,,25 Feb 2009,house,,80100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-104702427,Yarramundi,NSW,2753,,,350000,"$350,000",house,3,1,0,,,3598.0,m²,,,,,29 Feb 2008,house,,3598.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-140260027,Yarramundi,NSW,2753,115 Mountain Avenue,"115 Mountain Avenue, Yarramundi, NSW 2753",1470000,"$1,470,000",house,4,1,6,,,4046.0,m²,BFERIC,Bennett Property - Richmond,,,29 Oct 2022,house,,4046.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-139962527,Yarramundi,NSW,2753,47 Kestrel Way,"47 Kestrel Way, Yarramundi, NSW 2753",2000000,"$2,000,000",house,4,2,6,,,-1.0,,HCRRIC,Ray White - Richmond,,,28 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-yarramundi-140266807,Yarramundi,NSW,2753,5 River Rd,"5 River Rd, Yarramundi, NSW 2753",1350000,"$1,350,000",house,4,2,4,,,1.45,ha,XRWXMT,First National Connect,,,17 Oct 2022,house,,14500.0
